s t k edges
6 28 3 6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28 7113.15831086
6 28 4 6-12,12-10,10-11,11-31,31-29,29-28 12143.7057
6 28 5 6-12,12-18,18-24,24-25,25-26,26-27,27-28 5288.50548975
21 28 0 21-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28 5401.36869131
21 28 1 21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-27,27-28 5694.48502709
21 28 2 21-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-29,29-28 13758.8850477
21 28 3 21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-29,29-28 14885.7887858
21 28 4 21-20,20-19,19-18,18-12,12-10,10-11,11-31,31-30,30-26,26-27,27-28 4893.05729769
21 28 5 21-20,20-13,13-17,17-9,9-8,8-6,6-12,12-18,18-24,24-25,25-26,26-27,27-28 8769.14330555
19 4 0 19-18,18-12,12-6,6-7,7-4 2095.80818805
19 4 1 19-18,18-12,12-6,6-5,5-4 2351.59207271
19 4 2 19-20,20-13,13-17,17-9,9-8,8-6,6-7,7-4 3153.19788125
19 4 3 19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-5,5-4 7634.17183348
19 4 4 19-20,20-21,21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-7,7-4 4183.49134747
19 4 5 19-20,20-13,13-17,17-9,9-8,8-6,6-5,5-4 3408.98176591
17 20 0 17-13,13-20 491.066529574
17 20 1 17-16,16-15,15-14,14-21,21-20 1521.35999579
17 20 2 17-9,9-8,8-6,6-12,12-18,18-19,19-20 3934.07788401
17 20 3 17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25,25-24,24-18,18-19,19-20 9216.65764479
17 20 4 17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-29,29-28,28-27,27-26,26-25,25-24,24-18,18-19,19-20 18765.7974813
17 20 5 17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20 8551.35192252
7 25 0 7-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25 3854.57491406
7 25 1 7-4,4-5,5-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25 4347.2339307
7 25 2 7-6,6-12,12-18,18-24,24-25 4615.48296293
7 25 3 7-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25 6440.13578403
7 25 4 7-4,4-5,5-6,6-12,12-18,18-24,24-25 5108.14197957
7 25 5 7-6,6-12,12-10,10-11,11-31,31-30,30-26,26-25 4845.35664498
22 19 0 22-31,31-11,11-10,10-12,12-18,18-19 3673.11762879
22 19 1 22-23,23-2,2-3,3-0,0-1,1-6,6-12,12-18,18-19 4311.91113011
22 19 2 22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19 5369.30082331
22 19 3 22-31,31-30,30-26,26-25,25-24,24-18,18-19 4338.42335105
22 19 4 22-31,31-29,29-28,28-27,27-26,26-25,25-24,24-18,18-19 12896.7814567
22 19 5 22-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19 7524.2819568
20 7 0 20-19,19-18,18-12,12-6,6-7 2122.42395777
20 7 1 20-19,19-18,18-12,12-6,6-5,5-4,4-7 2615.08297442
20 7 2 20-13,13-17,17-9,9-8,8-6,6-7 2889.70697954
20 7 3 20-21,21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-7 3920.00044575
20 7 4 20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-7 7405.00371855
20 7 5 20-13,13-17,17-9,9-8,8-6,6-5,5-4,4-7 3382.36599618
18 19 0 18-19 383.631563949
18 19 1 18-12,12-6,6-8,8-9,9-17,17-13,13-20,20-19 4041.51284964
18 19 2 18-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19 5071.80631585
18 19 3 18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19 9324.09261041
18 19 4 18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-13,13-20,20-19 18873.2324469
18 19 5 18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19 9689.08035436
23 26 0 23-22,22-31,31-30,30-26 637.621341413
23 26 1 23-2,2-3,3-0,0-1,1-6,6-12,12-10,10-11,11-31,31-30,30-26 5900.12819434
23 26 2 23-2,2-3,3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26 7245.45001184
23 26 3 23-22,22-31,31-29,29-28,28-27,27-26 9195.97944702
23 26 4 23-22,22-31,31-11,11-10,10-12,12-18,18-24,24-25,25-26 7590.99892835
23 26 5 23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26 9070.10283295
21 6 0 21-20,20-19,19-18,18-12,12-6 2713.35479404
21 6 1 21-14,14-15,15-16,16-17,17-9,9-8,8-6 2742.08308576
21 6 2 21-14,14-15,15-16,16-17,17-13,13-20,20-19,19-18,18-12,12-6 2956.93312315
21 6 3 21-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6 7995.93455481
21 6 4 21-20,20-13,13-17,17-9,9-8,8-6 3480.6378158
21 6 5 21-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-11,11-10,10-12,12-6 17545.0743913
8 5 0 8-6,6-5 1521.59775957
8 5 1 8-6,6-7,7-4,4-5 1875.82048769
8 5 2 8-9,9-17,17-13,13-20,20-19,19-18,18-12,12-6,6-5 3628.96946627
8 5 3 8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-5 9941.84269326
8 5 4 8-9,9-17,17-13,13-20,20-19,19-18,18-12,12-6,6-7,7-4,4-5 3983.19219439
8 5 5 8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-6,6-5 4659.26293249
9 0 0 9-8,8-6,6-1,1-0 3203.64014607
9 0 1 9-17,17-13,13-20,20-19,19-18,18-12,12-6,6-1,1-0 4168.54255754
9 0 2 9-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0 5838.77830603
9 0 3 9-8,8-6,6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0 8139.6732093
9 0 4 9-17,17-16,16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-6,6-1,1-0 5198.83602376
9 0 5 9-8,8-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0 6637.35706315
14 31 0 14-15,15-16,16-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11,11-31 4573.38037934
14 31 1 14-21,21-20,20-19,19-18,18-12,12-10,10-11,11-31 4941.48213868
14 31 2 14-15,15-16,16-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31 5131.22977963
14 31 3 14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31 5606.78786095
14 31 4 14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31 14165.1459666
14 31 5 14-15,15-16,16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31 6122.01151055
10 7 0 10-12,12-6,6-7 1562.47459528
10 7 1 10-12,12-6,6-5,5-4,4-7 2055.13361193
10 7 2 10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-7 5405.26713556
10 7 3 10-12,12-18,18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-7 4224.13784027
10 7 4 10-11,11-31,31-30,30-26,26-25,25-24,24-18,18-12,12-6,6-7 7898.36501263
10 7 5 10-12,12-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-5,5-4,4-7 5747.09032313
15 30 0 15-16,16-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30 5025.7414926
15 30 1 15-16,16-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-30 5084.87623863
15 30 2 15-14,14-21,21-20,20-19,19-18,18-12,12-10,10-11,11-31,31-30 5095.29200165
15 30 3 15-14,14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-30 5712.27614797
15 30 4 15-16,16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-30 6016.52322352
15 30 5 15-16,16-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-29,29-28,28-27,27-26,26-30 13692.7723509
11 22 0 11-31,31-22 1591.93523568
11 22 1 11-10,10-12,12-6,6-1,1-0,0-3,3-2,2-23,23-22 4788.81997142
11 22 2 11-10,10-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22 5652.34261625
11 22 3 11-10,10-12,12-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-22 14210.7007219
11 22 4 11-10,10-12,12-18,18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22 7450.48321641
11 22 5 11-31,31-30,30-26,26-25,25-24,24-18,18-12,12-6,6-1,1-0,0-3,3-2,2-23,23-22 9341.10065258
0 17 0 0-1,1-6,6-8,8-9,9-17 3578.66633311
0 17 1 0-1,1-6,6-12,12-18,18-19,19-20,20-13,13-17 3793.5163705
0 17 2 0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17 5463.75211899
0 17 3 0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17 7159.35130746
0 17 4 0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17 7012.3832502
0 17 5 0-1,1-6,6-12,12-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17 4823.80983671
24 14 0 24-18,18-19,19-20,20-13,13-17,17-16,16-15,15-14 4139.50992265
24 14 1 24-18,18-19,19-20,20-21,21-14 4507.611682
24 14 2 24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-16,16-15,15-14 6230.40595858
24 14 3 24-18,18-12,12-6,6-8,8-9,9-17,17-13,13-20,20-21,21-14 7875.38629624
24 14 4 24-25,25-26,26-30,30-31,31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14 6040.65831763
24 14 5 24-18,18-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14 6525.15147775
14 1 0 14-15,15-16,16-17,17-9,9-8,8-6,6-1 3379.35058232
14 1 1 14-21,21-20,20-19,19-18,18-12,12-6,6-1 3962.30237905
14 1 2 14-15,15-16,16-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1 6325.25957665
14 1 3 14-21,21-20,20-13,13-17,17-9,9-8,8-6,6-1 4729.58540081
14 1 4 14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1 7358.66705825
14 1 5 14-15,15-16,16-17,17-13,13-20,20-19,19-18,18-12,12-6,6-1 3594.20061971
12 17 0 12-18,18-19,19-20,20-13,13-17 1438.25664119
12 17 1 12-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17 2468.5501074
12 17 2 12-6,6-8,8-9,9-17 2986.8877724
12 17 3 12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17 7604.16181091
12 17 4 12-10,10-11,11-31,31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17 7711.61813288
12 17 5 12-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17 17664.8360627
1 28 0 1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-27,27-28 2009.29440054
1 28 1 1-6,6-12,12-10,10-11,11-31,31-30,30-26,26-27,27-28 4886.29121304
1 28 2 1-0,0-3,3-2,2-23,23-22,22-31,31-29,29-28 10209.8164283
1 28 3 1-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28 8056.26585164
1 28 4 1-6,6-12,12-10,10-11,11-31,31-29,29-28 13086.8132408
1 28 5 1-6,6-12,12-18,18-24,24-25,25-26,26-27,27-28 6231.61303054
25 15 0 25-24,24-18,18-19,19-20,20-13,13-17,17-16,16-15 4242.9421125
25 15 1 25-24,24-18,18-19,19-20,20-21,21-14,14-15 4870.34202184
25 15 2 25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-16,16-15 5867.67561873
25 15 3 25-26,26-30,30-31,31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14,14-15 5937.22612778
25 15 4 25-24,24-18,18-12,12-6,6-8,8-9,9-17,17-16,16-15 6628.5836676
25 15 5 25-26,26-27,27-28,28-29,29-31,31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17,17-16,16-15 13868.184324
15 4 0 15-16,16-17,17-9,9-8,8-6,6-7,7-4 2718.52479439
15 4 1 15-16,16-17,17-9,9-8,8-6,6-5,5-4 2974.30867905
15 4 2 15-14,14-21,21-20,20-19,19-18,18-12,12-6,6-7,7-4 3560.77474112
15 4 3 15-14,14-21,21-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-5,5-4 8433.83266429
15 4 4 15-16,16-17,17-13,13-20,20-19,19-18,18-12,12-6,6-7,7-4 2933.37483178
15 4 5 15-14,14-21,21-20,20-13,13-17,17-9,9-8,8-6,6-5,5-4 4583.84164754
13 20 0 13-20 184.988134734
13 20 1 13-17,17-16,16-15,15-14,14-21,21-20 1827.43839063
13 20 2 13-17,17-9,9-8,8-6,6-12,12-18,18-19,19-20 4240.15627885
13 20 3 13-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25,25-24,24-18,18-19,19-20 9522.73603963
13 20 4 13-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-29,29-28,28-27,27-26,26-25,25-24,24-18,18-19,19-20 19071.8758762
13 20 5 13-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20 8857.43031736
2 27 0 2-23,23-22,22-31,31-30,30-26,26-27 783.707887942
2 27 1 2-3,3-0,0-1,1-6,6-12,12-10,10-11,11-31,31-30,30-26,26-27 5968.65292281
2 27 2 2-23,23-22,22-31,31-29,29-28,28-27 9127.45471855
2 27 3 2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-27 9138.62756141
2 27 4 2-3,3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-27 7313.97474031
2 27 5 2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-24,24-25,25-26,26-27 7737.08547488
26 12 0 26-30,30-31,31-11,11-10,10-12 2882.52504904
26 12 1 26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-12 3655.22448672
26 12 2 26-25,25-24,24-18,18-12 4227.84686654
26 12 3 26-27,27-28,28-29,29-31,31-11,11-10,10-12 11440.8831546
26 12 4 26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-12 7815.98085624
26 12 5 26-25,25-24,24-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-12 8846.27432246
29 17 0 29-31,31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17 8520.55754252
29 17 1 29-28,28-27,27-26,26-30,30-31,31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17 8679.36394354
29 17 2 29-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17 9078.40694281
29 17 3 29-28,28-27,27-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17 10217.9688034
29 17 4 29-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17 10069.1886737
29 17 5 29-31,31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17 9185.86326478
3 2 0 3-2 143.052050597
3 2 1 3-0,0-1,1-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2 6237.70315651
3 2 2 3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2 7740.01930266
3 2 3 3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-22,22-23,23-2 18123.0302294
3 2 4 3-0,0-1,1-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2 9929.65986771
3 2 5 3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-22,22-23,23-2 16298.3774083
27 1 0 27-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1 1937.68199913
27 1 1 27-26,26-30,30-31,31-11,11-10,10-12,12-6,6-1 4814.67881162
27 1 2 27-28,28-29,29-31,31-22,22-23,23-2,2-3,3-0,0-1 10281.4288297
27 1 3 27-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-1 7984.65345023
27 1 4 27-26,26-25,25-24,24-18,18-12,12-6,6-1 6160.00062912
27 1 5 27-28,28-29,29-31,31-11,11-10,10-12,12-6,6-1 13158.4256422
30 14 0 30-31,31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14 4965.64292665
30 14 1 30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-16,16-15,15-14 5155.3905676
30 14 2 30-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-16,16-15,15-14 5214.52531363
30 14 3 30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14 5582.62707298
30 14 4 30-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14 6146.17229852
30 14 5 30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-12,12-18,18-19,19-20,20-21,21-14 5738.34236433
4 5 0 4-5 305.003306389
4 5 1 4-7,7-6,6-5 774.642233984
28 10 0 28-27,27-26,26-30,30-31,31-11,11-10 2674.20233884
28 10 1 28-27,27-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-12,12-10 4221.38327475
28 10 2 28-29,29-31,31-11,11-10 10874.7243666
28 10 3 28-27,27-26,26-25,25-24,24-18,18-12,12-10 4794.00565457
28 10 4 28-27,27-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-12,12-10 8382.13964427
28 10 5 28-29,29-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-12,12-10 12421.9053025
31 15 0 31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17,17-16,16-15 4443.73130434
31 15 1 31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-16,16-15 5001.58070463
31 15 2 31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14,14-15 5071.13121368
31 15 3 31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14,14-15 5736.43693594
31 15 4 31-29,29-28,28-27,27-26,26-25,25-24,24-18,18-12,12-6,6-8,8-9,9-17,17-16,16-15 16053.0366873
31 15 5 31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15 5992.36243555
5 24 0 5-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25,25-24 4156.87432317
5 24 1 5-6,6-12,12-18,18-24 4451.61984234
5 24 2 5-4,4-7,7-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25,25-24 4511.09705129
5 24 3 5-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24 6276.27266344
5 24 4 5-4,4-7,7-6,6-12,12-18,18-24 4805.84257046
5 24 5 5-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19,19-18,18-24 7306.56612966
29 11 0 29-31,31-11 5803.25528412
29 11 1 29-28,28-27,27-26,26-30,30-31,31-11 5962.06168514
29 11 2 29-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-12,12-10,10-11 9134.04595622
29 11 3 29-28,28-27,27-26,26-25,25-24,24-18,18-12,12-10,10-11 9865.47473707
29 11 4 29-31,31-30,30-26,26-25,25-24,24-18,18-12,12-10,10-11 9863.66266469
29 11 5 29-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11 11795.7092012
16 0 0 16-17,17-9,9-8,8-6,6-1,1-0 3635.86646505
16 0 1 16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-6,6-1,1-0 4766.60970478
16 0 2 16-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0 5520.95225092
16 0 3 16-15,15-14,14-21,21-20,20-13,13-17,17-9,9-8,8-6,6-1,1-0 5533.89272654
16 0 4 16-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0 6186.25797318
16 0 5 16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0 7069.58338213
6 23 0 6-1,1-0,0-3,3-2,2-23 2135.862561
6 23 1 6-12,12-10,10-11,11-31,31-22,22-23 4244.8926461
6 23 2 6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23 5747.20879225
6 23 3 6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-22,22-23 16130.219719
6 23 4 6-8,8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23 7936.84935731
6 23 5 6-12,12-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-22,22-23 14305.5668979
30 16 0 30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-16 4881.4948461
30 16 1 30-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-16 4940.62959213
30 16 2 30-31,31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14,14-15,15-16 5239.53864815
30 16 3 30-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16 5872.27657702
30 16 4 30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14,14-15,15-16 5856.52279447
30 16 5 30-26,26-25,25-24,24-18,18-12,12-6,6-8,8-9,9-17,17-16 7326.27114723
19 13 0 19-20,20-13 330.041470456
19 13 1 19-20,20-21,21-14,14-15,15-16,16-17,17-13 1972.49172635
19 13 2 19-18,18-12,12-6,6-8,8-9,9-17,17-13 4095.10294313
19 13 3 19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13 9377.6827039
19 13 4 19-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-13 18926.8225404
19 13 5 19-18,18-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-13 5495.37267881
17 13 0 17-13 306.07839484
17 13 1 17-16,16-15,15-14,14-21,21-20,20-13 1706.34813052
17 13 2 17-9,9-8,8-6,6-12,12-18,18-19,19-20,20-13 4119.06601875
