s t h tm
3 5 0 0.000526241089311
3 5 1 0.00178568778669
3 6 0 0.00354526322877
3 6 1 7.14510992343e-05
3 7 0 0.00773671808843
3 7 1 0.00252860152357
3 8 0 0.000521870230111
3 8 1 0.000570820669889
3 9 0 0.00290370525443
3 9 1 0.00180057638157
3 10 0 0.00176130004878
3 10 1 0.00134496829222
3 11 0 0.000348463375987
3 11 1 0.00278609823001
3 12 0 0.0042321630384
3 12 1 0.0034732801946
3 13 0 0.000267019403824
3 13 1 0.00397219711418
3 14 0 0.00307176004135
3 14 1 0.00600083934365
3 15 0 2.56733822931e-05
3 15 1 0.000151104381707
3 16 0 0.00194534419511
3 16 1 0.000594021693892
4 0 0 0.00623900421796
4 0 1 0.018881999552
4 1 0 0.0226538304708
4 1 1 0.0135834027502
4 2 0 0.0247294434716
4 2 1 0.0394359803274
4 3 0 0.0010732303253
4 3 1 0.0803908778977
4 5 0 0.0210817602579
4 5 1 0.00948091237714
4 6 0 0.0154657725187
4 6 1 0.0323455841233
4 7 0 0.0129709527429
4 7 1 0.122732012007
4 8 0 0.00148527982209
4 8 1 0.0129596084359
4 9 0 0.0172211319392
4 9 1 0.0449673813438
4 10 0 0.0167306130592
4 10 1 0.0243328744028
4 11 0 0.0406692627751
4 11 1 0.00076824907588
4 12 0 0.0347474517915
4 12 1 0.0671150844865
4 13 0 0.00685918981532
4 13 1 0.0491813692117
4 14 0 0.067868697157
4 14 1 0.052067036074
4 15 0 0.00152004391229
4 15 1 0.000816879595713
4 16 0 0.000725205137376
4 16 1 0.0328440837666
5 0 0 0.00560673406798
5 0 1 0.00138121994402
5 1 0 0.00272873729105
5 1 1 0.00735143791195
5 2 0 0.0173054960513
5 2 1 0.000543513278658
5 3 0 0.0111488985055
5 3 1 0.0115121164405
5 4 0 0.0138862236942
5 4 1 0.00635100885883
5 6 0 0.00506918650399
5 6 1 0.00823058306401
5 7 0 0.0218757395749
5 7 1 0.0158729939411
5 8 0 0.00138240291576
5 8 1 0.00263575717724
5 9 0 0.0154181772584
5 9 1 0.00188091137958
5 10 0 0.00870839133034
5 10 1 0.00271431154366
5 11 0 0.0028980559857
5 11 1 0.0086286899133
5 12 0 0.00179301636547
5 12 1 0.0265422653605
5 13 0 0.00711963566218
5 13 1 0.00846926567582
5 14 0 0.00421248055611
5 14 1 0.0291502543049
5 15 0 0.000155561265807
5 15 1 0.000494504876193
5 16 0 0.00754733974684
5 16 1 0.00179068867016
6 0 0 0.000407025243803
6 0 1 0.000162043712197
6 1 0 0.000475218416965
6 1 1 0.000345667750035
6 2 0 0.000458613711471
6 2 1 0.000994932933529
6 3 0 0.00128229020645
6 3 1 0.000563125504554
6 4 0 0.00023610012388
6 4 1 0.00141193316112
6 5 0 0.000476454995633
6 5 1 0.000215884704367
6 7 0 0.00108434615279
6 7 1 0.00198974854621
6 8 0 0.000161678128778
6 8 1 0.000165543568222
6 9 0 0.000976441436957
6 9 1 0.000432322029043
6 10 0 0.000412120585197
6 10 1 0.000518095267803
6 11 0 0.000579948285085
6 11 1 0.000358740384915
6 12 0 0.00217438653567
6 12 1 0.000133117087331
6 13 0 0.000766805373595
6 13 1 0.000502687785405
6 14 0 4.07861556253e-05
6 14 1 0.00267613165337
6 15 0 8.04011459839e-06
6 15 1 4.48984794016e-05
6 16 0 0.000571935141767
6 16 1 0.000188513779233
7 0 0 0.0018724416803
7 0 1 0.0037747684017
7 1 0 0.00212885117709
7 1 1 0.00601729101791
7 2 0 0.00814989255423
7 2 1 0.00627451625877
7 3 0 0.000214443270547
7 3 1 0.0180987156095
7 4 0 2.56781645811e-05
7 4 1 0.0163287373774
7 5 0 0.000472886062535
7 5 1 0.00639761300747
7 6 0 0.000466556807581
7 6 1 0.0102814522184
7 8 0 0.0031343257877
7 8 1 0.000112889942304
7 9 0 0.00187460412539
7 9 1 0.0121053945406
7 10 0 0.00563578239047
7 10 1 0.00359530337853
7 11 0 0.00383967207064
7 11 1 0.00547549450636
7 12 0 0.00809179600446
7 12 1 0.0148069363515
7 13 0 0.010932105328
7 13 1 0.00166583115704
7 14 0 0.0049263594913
7 14 1 0.0220352336077
7 15 0 0.000400345881204
7 15 1 0.000124995307796
7 16 0 0.00626437450086
7 16 1 0.00128201291614
8 0 0 0.00494054851745
8 0 1 0.00191092235255
8 1 0 0.000654551369253
8 1 1 0.00922874589475
8 2 0 0.0139149465203
8 2 1 0.00358545020273
8 3 0 0.000100108332861
8 3 1 0.0221183097521
8 4 0 0.0134894709879
8 4 1 0.00635250408808
8 5 0 0.00480758263236
8 5 1 0.00352804213764
8 6 0 0.00892014702474
8 6 1 0.00411986205726
8 7 0 0.0272102636116
8 7 1 0.00980119176437
8 9 0 0.00252729599456
8 9 1 0.0144339206484
8 10 0 0.00120998175667
8 10 1 0.00998962199933
8 11 0 0.00301703714976
8 11 1 0.00828457754624
8 12 0 0.0132120083159
8 12 1 0.0145698512981
8 13 0 0.00946878263443
8 13 1 0.00581564872257
8 14 0 0.00170010620531
8 14 1 0.0310110143407
8 15 0 0.000239949107766
8 15 1 0.000397420461234
8 16 0 0.00253257788233
8 16 1 0.00662306761567
9 0 0 0.00655371005633
9 0 1 0.00480933175767
9 1 0 0.00103790620962
9 1 1 0.0153533654154
9 2 0 0.00474288844549
9 2 1 0.0242812063035
9 3 0 0.0242396756372
9 3 1 0.0126091731008
9 4 0 0.0127091152222
9 4 1 0.0201984453168
9 5 0 0.0127050896278
9 5 1 0.00111939486625
9 6 0 0.0214929605072
9 6 1 0.000133661169817
9 7 0 0.0112329667562
9 7 1 0.0501498695668
9 8 0 0.00294659590388
9 8 1 0.00358729385512
9 10 0 0.00924624922765
9 10 1 0.00932809315635
9 11 0 0.0136227782639
9 11 1 0.00512074743811
9 12 0 0.00789589911373
9 12 1 0.0381798178273
9 13 0 0.0166644843912
9 13 1 0.00868447145875
9 14 0 0.0120389553452
9 14 1 0.0422118526298
9 15 0 1.10261016556e-05
9 15 1 0.00104603992034
9 16 0 0.0127244579739
9 16 1 0.00246001622007
10 0 0 0.00476009226048
10 0 1 0.00818089986252
10 1 0 0.0117939576489
10 1 1 0.00687351893607
10 2 0 0.00453076629481
10 2 1 0.0285238143082
10 3 0 0.0325387717322
10 3 1 0.0094271621318
10 4 0 0.0027907825108
10 4 1 0.0346865487092
10 5 0 0.0055105233008
10 5 1 0.0102337243992
10 6 0 0.0143621272264
10 6 1 0.0102677162046
10 7 0 0.019532596694
10 7 1 0.05037428338
10 8 0 0.00438540632044
10 8 1 0.00305582440656
10 9 0 0.0166020578148
10 9 1 0.0154341246522
10 11 0 0.0151352646503
10 11 1 0.00621111622573
10 12 0 0.0222545154117
10 12 1 0.0302195931733
10 13 0 0.0102243205075
10 13 1 0.0186447660775
10 14 0 0.00122932387859
10 14 1 0.0605551252304
10 15 0 0.000369203125162
10 15 1 0.000834654370838
10 16 0 0.00984155570996
10 16 1 0.00745153923404
11 0 0 1.57245340205e-05
11 0 1 0.00140741844798
11 1 0 0.00203637944388
11 1 1 1.65148041189e-05
11 2 0 0.0014272988716
11 2 1 0.0022077697504
11 3 0 0.00307201376395
11 3 1 0.00154305158005
11 4 0 0.00199458772564
11 4 1 0.00212685832736
11 5 0 0.000285445901088
11 5 1 0.00144597587891
11 6 0 0.00267887408226
11 6 1 2.9711819738e-05
11 7 0 0.0069483393432
11 7 1 0.0007394395248
11 8 0 0.000165060248977
11 8 1 0.000653264589023
11 9 0 0.0015182169831
11 9 1 0.0020048566589
11 10 0 0.00170450016685
11 10 1 0.000621808707149
11 12 0 5.66124951997e-05
11 12 1 0.0057140547508
11 13 0 0.00303349197977
11 13 1 0.000141290725231
11 14 0 0.0014628215261
11 14 1 0.0053317197509
11 15 0 0.000128051407983
11 15 1 4.33885501661e-06
11 16 0 0.00141557229772
11 16 1 0.000486178856276
12 0 0 0.0204104130995
12 0 1 0.00158998640852
12 1 0 0.0238336690132
12 1 1 0.00790206954382
12 2 0 0.00669081169133
12 2 1 0.0495037962607
12 3 0 0.00617675268303
12 3 1 0.065167646726
12 4 0 0.0285101246315
12 4 1 0.0352034030115
12 5 0 0.0266068751298
12 5 1 0.000159213286197
12 6 0 0.0233951574055
12 6 1 0.0184769332485
12 7 0 0.0756693903974
12 7 1 0.0431761567926
12 8 0 0.00151719162635
12 8 1 0.0111333105366
12 9 0 0.0422096972555
12 9 1 0.0122535777635
12 10 0 0.00701981138315
12 10 1 0.0289426500559
12 11 0 0.0305976496699
12 11 1 0.00569237375808
12 13 0 0.0247554093084
12 13 1 0.0243236282396
12 14 0 0.0308111690103
12 14 1 0.0742257980877
12 15 0 0.000763632551215
12 15 1 0.00128299151178
12 16 0 0.0121774708098
12 16 1 0.0172217432452
13 0 0 0.00180875772097
13 0 1 0.01000701358
13 1 0 0.00102264612671
13 1 1 0.0160216911243
13 2 0 0.02040617099
13 2 1 0.00977430985504
13 3 0 0.0248759548562
13 3 1 0.0134410360118
13 4 0 0.0251971346656
13 4 1 0.00902153809836
13 5 0 0.00618142904572
13 5 1 0.00819385442328
13 6 0 0.0190723162173
13 6 1 0.00341595936568
13 7 0 0.0466872224121
13 7 1 0.0171412460329
13 8 0 0.00306938786527
13 8 1 0.00372482695573
13 9 0 0.0246370193143
13 9 1 0.00461361323469
13 10 0 0.0108320951362
13 10 1 0.00848229138879
13 11 0 0.00731929031633
13 11 1 0.0121710201747
13 12 0 0.0224289454588
13 12 1 0.0254825330742
13 14 0 0.0480114241798
13 14 1 0.00840085964919
13 15 0 0.000659770002204
13 15 1 0.000439411939796
13 16 0 0.0128610187036
13 16 1 0.00292843955537
14 0 0 0.000852265805901
14 0 1 0.0076315921411
14 1 0 0.00541418136741
14 1 1 0.00682384629459
14 2 0 0.0117394183049
14 2 1 0.00993050960108
14 3 0 0.0179125299282
14 3 1 0.00959950455384
14 4 0 0.00350796323901
14 4 1 0.021061432313
14 5 0 0.00413653720818
14 5 1 0.00618507953482
14 6 0 0.00703810427471
14 6 1 0.00910873291829
14 7 0 0.00113139774811
14 7 1 0.0446981672829
14 8 0 0.00405418940413
14 8 1 0.000824133976871
14 9 0 0.0198502531717
14 9 1 0.00115203310025
14 10 0 0.000370826386974
14 10 1 0.013497122427
14 11 0 0.00991961390927
14 11 1 0.00407465030973
14 12 0 0.026430319979
14 12 1 0.00797066557899
14 13 0 0.0169184894967
14 13 1 0.0020075114863
14 15 0 0.000782868801683
14 15 1 6.35631231683e-06
14 16 0 0.0045871701732
14 16 1 0.0067498401248
15 0 0 0.00190703608809
15 0 1 0.00391514228091
15 1 0 0.0037712189
15 1 1 0.004627316339
15 2 0 0.00378058657192
15 2 1 0.0110907356841
15 3 0 0.00439508726413
15 3 1 0.0144854707369
15 4 0 0.00476205333123
15 4 1 0.0120990733178
15 5 0 0.00314049409858
15 5 1 0.00394287458942
15 6 0 0.00677505616088
15 6 1 0.00430595990712
15 7 0 0.0109116793585
15 7 1 0.0205395665065
15 8 0 0.00329009945643
15 8 1 5.77252055668e-05
15 9 0 0.00925444745548
15 9 1 0.00515869543252
15 10 0 0.00753500981203
15 10 1 0.00198208395697
15 11 0 0.00340486716452
15 11 1 0.00619891249948
15 12 0 0.0148772263458
15 12 1 0.00873098058424
15 13 0 0.0114932365907
15 13 1 0.00149502349333
15 14 0 0.00786626381871
15 14 1 0.0199306840283
15 16 0 0.00147374395363
15 16 1 0.00630645422237
16 0 0 0.000973288223745
16 0 1 0.00119945228726
16 1 0 0.00184549841604
16 1 1 0.00128869579596
16 2 0 0.000397196398693
16 2 1 0.00515253469331
16 3 0 0.00578713019531
16 3 1 0.00125878125569
16 4 0 0.00325323565107
16 4 1 0.00303905747593
16 5 0 0.00159188687362
16 5 1 0.00105150897038
16 6 0 0.000281122601588
16 6 1 0.00385412901541
16 7 0 0.0105495804193
16 7 1 0.00118750348371
16 8 0 0.00110104491029
16 8 1 0.000148307789711
16 9 0 0.0047788660403
16 9 1 0.000599880102703
16 10 0 0.0020930887305
16 10 1 0.0014585329945
16 11 0 0.00117018310927
16 11 1 0.00241378835573
16 12 0 0.00482191491465
16 12 1 0.00398827679435
16 13 0 0.00240166715137
16 13 1 0.00244533633563
16 14 0 0.004273047726
16 14 1 0.006100312698
16 15 0 0.000182015400749
16 15 1 2.0107429251e-05
