s t k edges
4 11 2 4-6,6-7,7-3,3-0,0-11 13192.7019156
4 11 3 4-13,13-14,14-2,2-11 16112.6980116
4 11 4 4-5,5-7,7-3,3-0,0-11 13935.4502491
4 11 5 4-13,13-12,12-8,8-15,15-14,14-2,2-11 19957.5223905
2 7 0 2-1,1-6,6-7 8292.38745028
2 7 1 2-11,11-0,0-3,3-7 9233.83434885
2 7 2 2-14,14-6,6-7 11428.6033452
2 7 3 2-1,1-6,6-4,4-5,5-7 16952.8709172
2 7 4 2-14,14-13,13-6,6-7 14028.2908058
2 7 5 2-10,10-18,18-17,17-14,14-6,6-7 18174.525445
5 10 0 5-7,7-6,6-1,1-2,2-10 13125.6845744
5 10 1 5-4,4-6,6-1,1-2,2-10 13546.3037273
5 10 2 5-4,4-13,13-16,16-17,17-18,18-10 20972.6292803
5 10 3 5-7,7-3,3-0,0-11,11-2,2-10 14067.131473
5 10 4 5-7,7-6,6-14,14-17,17-18,18-10 21581.0926349
5 10 5 5-4,4-13,13-14,14-2,2-10 17407.7467219
6 1 0 6-1 5100.70455327
6 1 1 6-7,7-3,3-0,0-11,11-2,2-1 12425.5172459
6 1 2 6-14,14-2,2-1 14620.2862422
6 1 3 6-13,13-14,14-2,2-1 17219.9737028
6 1 4 6-14,14-17,17-18,18-10,10-2,2-1 21366.208342
6 1 5 6-13,13-12,12-8,8-15,15-14,14-2,2-1 21064.7980817
4 17 0 4-13,13-16,16-17 13752.4585941
4 17 1 4-13,13-12,12-8,8-16,16-17 14267.5877371
4 17 2 4-6,6-14,14-17 14781.5411016
4 17 3 4-5,5-7,7-6,6-14,14-17 15524.2894351
4 17 4 4-13,13-14,14-17 15506.7682014
4 17 5 4-6,6-13,13-16,16-17 15626.9189551
7 4 0 7-6,6-4 3958.86756671
7 4 1 7-5,5-4 4701.61590023
7 4 2 7-6,6-13,13-4 14484.5845174
7 4 3 7-3,3-0,0-11,11-2,2-1,1-6,6-4 21485.0893658
7 4 4 7-6,6-14,14-13,13-4 16930.636109
7 4 5 7-6,6-14,14-15,15-8,8-12,12-13,13-4 20775.460488
8 0 0 8-15,15-14,14-2,2-11,11-0 11150.274384
8 0 1 8-15,15-9,9-14,14-2,2-11,11-0 11150.274384
8 0 2 8-16,16-13,13-6,6-7,7-3,3-0 16892.0771155
8 0 3 8-16,16-17,17-18,18-10,10-2,2-11,11-0 12812.1916407
8 0 4 8-12,12-13,13-14,14-2,2-11,11-0 12663.8888122
8 0 5 8-16,16-15,15-14,14-2,2-11,11-0 11968.8625117
16 11 0 16-15,15-14,14-2,2-11 9087.12969855
16 11 1 16-9,9-14,14-2,2-11 9087.12969855
16 11 2 16-13,13-6,6-7,7-3,3-0,0-11 18323.2788197
16 11 3 16-17,17-18,18-10,10-2,2-11 9930.45882761
16 11 4 16-8,8-12,12-13,13-14,14-2,2-11 11232.6871081
16 11 5 16-17,17-14,14-2,2-11 12583.342355
6 18 0 6-1,1-2,2-10,10-18 11730.3949865
6 18 1 6-7,7-3,3-0,0-11,11-2,2-10,10-18 12671.8418851
6 18 2 6-14,14-17,17-18 14736.5179087
6 18 3 6-13,13-16,16-17,17-18 15581.8957622
6 18 4 6-13,13-12,12-8,8-16,16-17,17-18 16097.0249052
6 18 5 6-14,14-2,2-10,10-18 14866.6108814
17 10 0 17-18,18-10 6638.48694297
17 10 1 17-14,14-2,2-10 10718.1004046
17 10 2 17-16,16-15,15-14,14-2,2-10 12379.1015832
17 10 3 17-14,14-6,6-1,1-2,2-10 19828.4259523
17 10 4 17-16,16-9,9-14,14-2,2-10 12379.1015832
17 10 5 17-16,16-13,13-14,14-2,2-10 14009.5298497
18 17 0 18-17 3913.84437383
18 17 1 18-10,10-2,2-14,14-17 13442.7429737
18 17 2 18-10,10-2,2-14,14-9,9-16,16-17 15103.7441523
18 17 3 18-10,10-2,2-1,1-6,6-14,14-17 22553.0685214
18 17 4 18-10,10-2,2-14,14-15,15-16,16-17 15103.7441523
18 17 5 18-10,10-2,2-14,14-13,13-16,16-17 16734.1724188
8 7 0 8-12,12-13,13-6,6-7 8879.30805931
8 7 1 8-15,15-14,14-6,6-7 9811.74522284
8 7 2 8-12,12-13,13-4,4-5,5-7 15665.3311654
8 7 3 8-16,16-13,13-6,6-7 9814.71002532
8 7 4 8-15,15-9,9-14,14-6,6-7 9811.74522284
8 7 5 8-16,16-15,15-14,14-6,6-7 10630.3333505
9 6 0 9-14,14-6 8584.08262588
9 6 1 9-15,15-14,14-6 8584.08262588
9 6 2 9-15,15-8,8-12,12-13,13-6 10106.9706563
9 6 3 9-16,16-13,13-6 10410.4296409
9 6 4 9-14,14-13,13-6 11183.7700865
9 6 5 9-16,16-15,15-14,14-6 11226.0529661
10 5 0 10-2,2-1,1-6,6-7,7-5 13125.6845744
10 5 1 10-2,2-1,1-6,6-4,4-5 13546.3037273
10 5 2 10-18,18-17,17-16,16-13,13-4,4-5 20972.6292803
10 5 3 10-2,2-11,11-0,0-3,3-7,7-5 14067.131473
10 5 4 10-18,18-17,17-14,14-6,6-7,7-5 21581.0926349
10 5 5 10-2,2-14,14-13,13-4,4-5 17407.7467219
11 8 0 11-2,2-14,14-15,15-8 8993.80712541
11 8 1 11-2,2-14,14-9,9-15,15-8 8993.80712541
11 8 2 11-0,0-3,3-7,7-6,6-13,13-16,16-8 19048.5443742
11 8 3 11-2,2-10,10-18,18-17,17-16,16-8 10655.7243821
11 8 4 11-2,2-14,14-13,13-12,12-8 10507.4215536
11 8 5 11-2,2-14,14-15,15-16,16-8 9812.39525305
14 7 0 14-6,6-7 6123.27072129
14 7 1 14-13,13-6,6-7 8722.95818194
14 7 2 14-13,13-4,4-5,5-7 15508.981288
14 7 3 14-2,2-1,1-6,6-7 13597.7200741
14 7 4 14-15,15-8,8-12,12-13,13-6,6-7 12567.7825609
14 7 5 14-9,9-16,16-13,13-6,6-7 12871.2415455
1 18 0 1-2,2-10,10-18 6629.69043327
1 18 1 1-2,2-14,14-17,17-18 17110.2627083
1 18 2 1-6,6-7,7-3,3-0,0-11,11-2,2-10,10-18 17772.5464384
1 18 3 1-6,6-13,13-16,16-17,17-18 20682.6003154
1 18 4 1-6,6-14,14-17,17-18 19837.222462
1 18 5 1-2,2-14,14-9,9-16,16-17,17-18 18771.2638869
15 6 0 15-14,14-6 8584.08262588
15 6 1 15-9,9-14,14-6 8584.08262588
15 6 2 15-8,8-12,12-13,13-6 10106.9706563
15 6 3 15-16,16-13,13-6 10410.4296409
15 6 4 15-14,14-13,13-6 11183.7700865
15 6 5 15-16,16-9,9-14,14-6 11226.0529661
13 18 0 13-16,16-17,17-18 9381.80710639
13 18 1 13-12,12-8,8-16,16-17,17-18 9896.93624939
13 18 2 13-14,14-2,2-10,10-18 11266.2096863
13 18 3 13-14,14-17,17-18 11136.1167136
13 18 4 13-12,12-8,8-15,15-14,14-2,2-10,10-18 15111.0340652
13 18 5 13-14,14-9,9-16,16-17,17-18 12797.1178922
0 9 0 0-11,11-2,2-14,14-9 9922.61178707
0 9 1 0-11,11-2,2-14,14-15,15-9 9922.61178707
0 9 2 0-3,3-7,7-6,6-14,14-9 15661.4497161
0 9 3 0-3,3-7,7-6,6-13,13-16,16-9 17487.7967311
0 9 4 0-11,11-2,2-10,10-18,18-17,17-16,16-9 13407.9112563
0 9 5 0-11,11-2,2-14,14-13,13-12,12-8,8-15,15-9 13891.5514091
3 4 0 3-7,7-6,6-4 11036.2346569
3 4 1 3-7,7-5,5-4 11778.9829905
3 4 2 3-0,0-11,11-2,2-1,1-6,6-4 14407.7222756
3 4 3 3-0,0-11,11-2,2-14,14-13,13-4 18269.1652702
3 4 4 3-7,7-6,6-13,13-4 21561.9516076
3 4 5 3-0,0-11,11-2,2-14,14-6,6-4 17543.9381705
4 7 0 4-6,6-7 3958.86756671
4 7 1 4-5,5-7 4701.61590023
4 7 2 4-13,13-6,6-7 14484.5845174
4 7 3 4-6,6-1,1-2,2-11,11-0,0-3,3-7 21485.0893658
4 7 4 4-13,13-14,14-6,6-7 16930.636109
4 7 5 4-13,13-12,12-8,8-15,15-14,14-6,6-7 20775.460488
5 6 0 5-7,7-6 4119.93215701
5 6 1 5-4,4-6 4540.55130994
5 6 2 5-4,4-13,13-6 15066.2682606
5 6 3 5-7,7-3,3-0,0-11,11-2,2-1,1-6 21646.1539561
5 6 4 5-4,4-13,13-14,14-6 17512.3198523
5 6 5 5-4,4-13,13-12,12-8,8-15,15-14,14-6 21357.1442312
16 2 0 16-15,15-14,14-2 9087.12969855
16 2 1 16-9,9-14,14-2 9087.12969855
16 2 2 16-17,17-18,18-10,10-2 9930.45882761
16 2 3 16-13,13-14,14-2 10717.5579651
16 2 4 16-8,8-15,15-14,14-2 9719.07267991
16 2 5 16-17,17-14,14-2 12583.342355
17 3 0 17-18,18-10,10-2,2-11,11-0,0-3 9508.31916871
17 3 1 17-14,14-2,2-11,11-0,0-3 12161.2026961
17 3 2 17-14,14-6,6-7,7-3 17900.0406251
17 3 3 17-16,16-13,13-6,6-7,7-3 18745.4184786
17 3 4 17-16,16-8,8-12,12-13,13-6,6-7,7-3 19260.5476216
17 3 5 17-16,16-15,15-14,14-2,2-11,11-0,0-3 13822.2038747
7 16 0 7-6,6-13,13-16 9089.44447082
7 16 1 7-6,6-13,13-12,12-8,8-16 9604.57361381
7 16 2 7-5,5-4,4-13,13-16 15875.4675769
7 16 3 7-6,6-14,14-15,15-16 9905.06779598
7 16 4 7-6,6-14,14-9,9-16 9905.06779598
7 16 5 7-6,6-14,14-15,15-9,9-16 9905.06779598
18 8 0 18-17,17-16,16-8 7217.71684585
18 8 1 18-17,17-16,16-15,15-8 9041.09905842
18 8 2 18-10,10-2,2-14,14-15,15-8 12431.8146617
18 8 3 18-17,17-14,14-9,9-16,16-8 13120.3098166
18 8 4 18-17,17-16,16-13,13-12,12-8 12061.0265099
18 8 5 18-10,10-2,2-14,14-9,9-15,15-8 12431.8146617
8 14 0 8-15,15-14 3688.47450155
8 14 1 8-15,15-9,9-14 3688.47450155
8 14 2 8-16,16-15,15-14 4507.06262919
8 14 3 8-12,12-13,13-14 5202.0889297
8 14 4 8-16,16-17,17-14 8003.27528564
8 14 5 8-16,16-9,9-14 4507.06262919
9 15 0 9-15 0.0
9 15 1 9-16,16-15 2641.97034021
9 15 2 9-16,16-8,8-15 3273.91332156
9 15 3 9-14,14-15 4921.62380917
9 15 4 9-14,14-13,13-12,12-8,8-15 8890.56343125
9 15 5 9-14,14-17,17-16,16-15 11059.8068058
10 12 0 10-2,2-14,14-13,13-12 9647.92840682
10 12 1 10-2,2-14,14-15,15-8,8-12 11280.0302064
10 12 2 10-18,18-17,17-16,16-8,8-12 11515.2175289
10 12 3 10-18,18-17,17-16,16-13,13-12 13212.8109652
10 12 4 10-2,2-14,14-9,9-15,15-8,8-12 11280.0302064
10 12 5 10-2,2-14,14-15,15-16,16-13,13-12 13796.2117704
11 1 0 11-2,2-1 3191.68289701
11 1 1 11-0,0-3,3-7,7-6,6-1 14334.5389021
11 1 2 11-2,2-14,14-6,6-1 16529.3078984
11 1 3 11-2,2-14,14-13,13-6,6-1 19128.9953591
11 1 4 11-0,0-3,3-7,7-5,5-4,4-6,6-1 22995.0223691
11 1 5 11-2,2-10,10-18,18-17,17-14,14-6,6-1 23275.2299983
9 17 0 9-16,16-17 3899.59208763
9 17 1 9-15,15-16,16-17 3899.59208763
9 17 2 9-14,14-17 7160.2147182
9 17 3 9-15,15-14,14-17 7160.2147182
9 17 4 9-14,14-13,13-16,16-17 10451.6441633
9 17 5 9-16,16-8,8-15,15-14,14-17 10434.1280398
12 10 0 12-13,13-14,14-2,2-10 9647.92840682
12 10 1 12-8,8-15,15-14,14-2,2-10 11280.0302064
12 10 2 12-8,8-16,16-17,17-18,18-10 11515.2175289
12 10 3 12-13,13-16,16-17,17-18,18-10 13212.8109652
12 10 4 12-8,8-15,15-9,9-14,14-2,2-10 11280.0302064
12 10 5 12-13,13-16,16-15,15-14,14-2,2-10 13796.2117704
13 11 0 13-14,14-2,2-11 7828.20215002
13 11 1 13-12,12-8,8-15,15-14,14-2,2-11 11673.0265289
13 11 2 13-6,6-7,7-3,3-0,0-11 15433.9230046
13 11 3 13-16,16-17,17-18,18-10,10-2,2-11 12819.8146426
13 11 4 13-16,16-9,9-14,14-2,2-11 11976.4855136
13 11 5 13-16,16-15,15-14,14-2,2-11 11976.4855136
2 16 0 2-14,14-15,15-16 9087.12969855
2 16 1 2-14,14-9,9-16 9087.12969855
2 16 2 2-10,10-18,18-17,17-16 9930.45882761
