s t k edges
18 19 0 18-19 54.1861250084
18 19 1 18-17,17-19 157.491880901
18 19 2 18-17,17-16,16-15,15-13,13-22,22-21,21-20,20-19 3792.54652757
18 19 3 18-17,17-16,16-1,1-7,7-6,6-19 4201.82163278
18 19 4 18-17,17-16,16-1,1-7,7-4,4-5,5-8,8-10,10-19 5286.44041837
18 19 5 18-17,17-16,16-15,15-13,13-22,22-9,9-21,21-20,20-19 4156.90047906
21 6 0 21-20,20-19,19-6 1613.84339839
21 6 1 21-8,8-5,5-4,4-6 1785.51326306
21 6 2 21-8,8-10,10-19,19-6 2227.20327995
21 6 3 21-22,22-13,13-15,15-16,16-1,1-7,7-6 4942.23599312
21 6 4 21-8,8-5,5-4,4-7,7-6 2404.04809889
21 6 5 21-9,9-22,22-13,13-15,15-16,16-17,17-19,19-6 3655.06560213
8 5 0 8-5 142.339704912
8 5 1 8-10,10-19,19-6,6-4,4-5 2314.33899161
8 5 2 8-10,10-19,19-6,6-7,7-4,4-5 2932.87382745
8 5 3 8-21,21-20,20-19,19-6,6-4,4-5 3257.01695654
8 5 4 8-10,10-19,19-17,17-16,16-1,1-7,7-4,4-5 5090.33679265
8 5 5 8-21,21-22,22-13,13-15,15-16,16-17,17-18,18-19,19-6,6-4,4-5 5041.83525461
9 0 0 9-22,22-3,3-0 3212.6859998
9 0 1 9-21,21-22,22-3,3-0 3238.59987212
9 0 2 9-21,21-20,20-19,19-17,17-16,16-0 3366.85345222
9 0 3 9-22,22-13,13-15,15-16,16-0 3687.04690493
9 0 4 9-21,21-8,8-10,10-19,19-18,18-17,17-16,16-0 4088.16337961
9 0 5 9-21,21-22,22-13,13-15,15-16,16-0 3712.96077726
10 7 0 10-8,8-5,5-4,4-7 1392.97633499
10 7 1 10-8,8-5,5-4,4-6,6-7 1599.26380365
10 7 2 10-19,19-6,6-7 1682.23719737
10 7 3 10-19,19-17,17-16,16-1,1-7 3839.70016257
10 7 4 10-19,19-6,6-4,4-7 2212.22423276
10 7 5 10-8,8-21,21-20,20-19,19-6,6-7 2983.63178547
11 22 0 11-3,3-22 3874.5622419
11 22 1 11-12,12-0,0-3,3-22 4074.83592211
11 22 2 11-12,12-0,0-16,16-15,15-13,13-22 4549.19682725
11 22 3 11-3,3-0,0-16,16-17,17-19,19-20,20-21,21-22 5611.71761474
11 22 4 11-12,12-0,0-16,16-17,17-18,18-19,19-10,10-8,8-21,21-9,9-22 5754.91591078
11 22 5 11-3,3-0,0-16,16-15,15-13,13-22 5491.66241008
0 17 0 0-16,16-17 2088.89838302
0 17 1 0-3,3-22,22-21,21-20,20-19,19-17 4126.28711752
0 17 2 0-3,3-22,22-21,21-20,20-19,19-18,18-17 4234.23716334
0 17 3 0-16,16-1,1-7,7-6,6-19,19-17 5009.92312786
0 17 4 0-3,3-22,22-9,9-21,21-8,8-10,10-19,19-17 5104.00095057
0 17 5 0-16,16-1,1-7,7-6,6-19,19-18,18-17 5117.87317368
14 1 0 14-2,2-3,3-0,0-16,16-1 3456.61005471
14 1 1 14-3,3-22,22-13,13-15,15-16,16-1 5457.93161588
14 1 2 14-3,3-0,0-16,16-17,17-19,19-6,6-7,7-1 5474.69715129
14 1 3 14-3,3-22,22-21,21-20,20-19,19-18,18-17,17-16,16-1 5685.93686636
14 1 4 14-2,2-3,3-11,11-12,12-0,0-16,16-1 5785.23882798
14 1 5 14-3,3-0,0-16,16-1 3456.30438195
12 17 0 12-0,0-16,16-17 3003.01757819
12 17 1 12-11,11-3,3-0,0-16,16-17 4646.14722416
12 17 2 12-0,0-3,3-22,22-21,21-20,20-19,19-17 5040.40631269
12 17 3 12-0,0-16,16-1,1-7,7-6,6-19,19-17 5924.04232303
12 17 4 12-11,11-3,3-22,22-21,21-20,20-19,19-18,18-17 5648.74674144
12 17 5 12-0,0-3,3-22,22-21,21-8,8-10,10-19,19-17 5653.76619425
15 4 0 15-16,16-17,17-19,19-6,6-4 2347.0168678
15 4 1 15-16,16-17,17-18,18-19,19-6,6-4 2454.96691362
15 4 2 15-13,13-22,22-21,21-8,8-5,5-4 2729.2080459
15 4 3 15-16,16-1,1-7,7-4 3792.25374162
15 4 4 15-13,13-22,22-9,9-21,21-8,8-5,5-4 3093.56199739
15 4 5 15-13,13-22,22-21,21-20,20-19,19-6,6-7,7-4 3912.34752111
13 20 0 13-22,22-21,21-20 1155.46890769
13 20 1 13-22,22-9,9-21,21-20 1519.82285918
13 20 2 13-15,15-16,16-17,17-19,19-20 2583.31369907
13 20 3 13-15,15-16,16-1,1-7,7-6,6-19,19-20 5400.61048382
13 20 4 13-22,22-21,21-8,8-10,10-19,19-20 2721.17798256
13 20 5 13-15,15-16,16-17,17-18,18-19,19-20 2691.26374489
3 2 0 3-2 95.4801512398
3 2 1 3-14,14-2 594.266280843
4 5 0 4-5 497.017382879
4 5 1 4-6,6-19,19-10,10-8,8-5 1959.66131365
4 5 2 4-7,7-6,6-19,19-10,10-8,8-5 2578.19614948
4 5 3 4-6,6-19,19-20,20-21,21-8,8-5 2902.33927857
4 5 4 4-7,7-1,1-16,16-17,17-19,19-10,10-8,8-5 4735.65911468
4 5 5 4-6,6-19,19-18,18-17,17-16,16-15,15-13,13-22,22-21,21-8,8-5 4687.15757665
16 0 0 16-0 1475.38189946
16 0 1 16-15,15-13,13-22,22-3,3-0 4619.74839642
16 0 2 16-17,17-19,19-20,20-21,21-22,22-3,3-0 4739.80360108
16 0 3 16-17,17-18,18-19,19-10,10-8,8-21,21-9,9-22,22-3,3-0 5825.46747995
16 0 4 16-17,17-19,19-6,6-4,4-5,5-8,8-21,21-22,22-3,3-0 6077.24590802
16 0 5 16-17,17-18,18-19,19-20,20-21,21-22,22-3,3-0 4847.7536469
19 13 0 19-20,20-21,21-22,22-13 1631.64350435
19 13 1 19-20,20-21,21-9,9-22,22-13 1995.99745583
19 13 2 19-17,17-16,16-15,15-13 2107.13910241
19 13 3 19-6,6-7,7-1,1-16,16-15,15-13 4924.43588716
19 13 4 19-10,10-8,8-21,21-22,22-13 2245.00338591
19 13 5 19-18,18-17,17-16,16-0,0-3,3-22,22-13 5426.70216649
17 13 0 17-19,19-20,20-21,21-22,22-13 1683.50748439
17 13 1 17-18,18-19,19-20,20-21,21-22,22-13 1791.45753021
17 13 2 17-16,16-15,15-13 2055.27512237
17 13 3 17-19,19-10,10-8,8-21,21-9,9-22,22-13 2661.22131744
17 13 4 17-19,19-6,6-4,4-5,5-8,8-21,21-22,22-13 3020.94979133
17 13 5 17-18,18-19,19-20,20-21,21-9,9-22,22-13 2155.8114817
7 22 0 7-4,4-5,5-8,8-21,21-22 2224.7182115
7 22 1 7-6,6-19,19-20,20-21,21-22 2259.33581548
7 22 2 7-4,4-5,5-8,8-21,21-9,9-22 2589.07216298
7 22 3 7-1,1-16,16-0,0-3,3-22 6773.1464698
7 22 4 7-6,6-19,19-17,17-16,16-15,15-13,13-22 3470.04153804
7 22 5 7-6,6-19,19-20,20-21,21-9,9-22 2623.68976697
20 14 0 20-21,21-22,22-3,3-14 3371.59928896
20 14 1 20-21,21-22,22-3,3-2,2-14 3371.90496172
20 14 2 20-19,19-17,17-16,16-0,0-3,3-14 3533.0269709
20 14 3 20-19,19-10,10-8,8-21,21-9,9-22,22-3,3-14 5301.66231532
20 14 4 20-19,19-18,18-17,17-16,16-0,0-3,3-2,2-14 3641.28268948
20 14 5 20-21,21-9,9-22,22-3,3-14 3735.95324045
18 10 0 18-19,19-10 741.125948994
18 10 1 18-17,17-19,19-10 844.431704886
18 10 2 18-19,19-6,6-4,4-5,5-8,8-10 1823.92499755
18 10 3 18-17,17-16,16-15,15-13,13-22,22-21,21-8,8-10 3718.96658515
18 10 4 18-19,19-20,20-21,21-8,8-10 2042.5205371
18 10 5 18-17,17-16,16-1,1-7,7-4,4-5,5-8,8-10 4599.50059439
21 15 0 21-22,22-13,13-15 1311.83203487
21 15 1 21-9,9-22,22-13,13-15 1676.18598635
21 15 2 21-20,20-19,19-17,17-16,16-15 2426.95057189
21 15 3 21-8,8-5,5-4,4-7,7-1,1-16,16-15 5209.62975266
21 15 4 21-22,22-3,3-0,0-16,16-15 5249.46079071
21 15 5 21-8,8-10,10-19,19-18,18-17,17-16,16-15 3148.26049928
8 12 0 8-10,10-19,19-17,17-16,16-0,0-12 3921.17969381
8 12 1 8-10,10-19,19-18,18-17,17-16,16-0,0-12 4029.12973963
8 12 2 8-21,21-22,22-3,3-11,11-12 5235.99446157
8 12 3 8-21,21-9,9-22,22-3,3-0,0-12 5099.95803012
8 12 4 8-5,5-4,4-6,6-19,19-17,17-16,16-0,0-12 4645.26211919
8 12 5 8-21,21-9,9-22,22-3,3-11,11-12 5600.34841305
22 12 0 22-3,3-0,0-12 3724.50389054
22 12 1 22-13,13-15,15-16,16-0,0-12 4198.86479568
22 12 2 22-3,3-11,11-12 4224.89427347
22 12 3 22-21,21-20,20-19,19-17,17-16,16-0,0-12 4318.92000034
22 12 4 22-9,9-21,21-8,8-10,10-19,19-18,18-17,17-16,16-0,0-12 5404.58387921
22 12 5 22-13,13-15,15-16,16-0,0-3,3-11,11-12 5841.99444165
10 14 0 10-19,19-17,17-16,16-0,0-3,3-14 3743.79219823
10 14 1 10-19,19-17,17-16,16-0,0-3,3-2,2-14 3744.09787099
10 14 2 10-8,8-21,21-22,22-3,3-14 3774.1939432
10 14 3 10-8,8-21,21-9,9-22,22-3,3-14 4138.54789468
10 14 4 10-19,19-20,20-21,21-22,22-3,3-2,2-14 4535.01938236
10 14 5 10-8,8-5,5-4,4-6,6-19,19-18,18-17,17-16,16-0,0-3,3-14 4934.54129261
8 18 0 8-10,10-19,19-18 920.484260582
8 18 1 8-10,10-19,19-17,17-18 1023.79001647
8 18 2 8-5,5-4,4-6,6-19,19-18 1644.56668596
8 18 3 8-21,21-22,22-13,13-15,15-16,16-17,17-18 3539.60827356
8 18 4 8-21,21-20,20-19,19-18 1863.16222551
8 18 5 8-5,5-4,4-7,7-1,1-16,16-17,17-18 4420.1422828
11 15 0 11-12,12-0,0-16,16-15 3470.44605723
11 15 1 11-3,3-0,0-16,16-15 4412.91164006
11 15 2 11-3,3-22,22-13,13-15 4953.31301192
11 15 3 11-3,3-22,22-21,21-20,20-19,19-17,17-16,16-15 6534.59407864
11 15 4 11-12,12-0,0-3,3-22,22-13,13-15 5153.58669213
11 15 5 11-12,12-0,0-16,16-17,17-18,18-19,19-10,10-8,8-21,21-22,22-13,13-15 6469.31272931
9 19 0 9-21,21-20,20-19 1226.09108916
9 19 1 9-22,22-21,21-20,20-19 1666.33974653
9 19 2 9-21,21-8,8-10,10-19 1839.45097072
9 19 3 9-22,22-13,13-15,15-16,16-17,17-19 2877.04546909
9 19 4 9-21,21-8,8-5,5-4,4-6,6-19 2563.5333961
9 19 5 9-22,22-3,3-0,0-16,16-17,17-19 5353.44836286
14 8 0 14-3,3-22,22-21,21-8 3594.83563161
14 8 1 14-2,2-3,3-22,22-21,21-8 3595.14130436
14 8 2 14-3,3-0,0-16,16-17,17-19,19-10,10-8 3923.15050982
14 8 3 14-3,3-0,0-16,16-17,17-18,18-19,19-6,6-4,4-5,5-8 4755.18298102
14 8 4 14-2,2-3,3-22,22-9,9-21,21-8 3959.49525585
14 8 5 14-3,3-22,22-21,21-20,20-19,19-10,10-8 4714.07202119
12 8 0 12-0,0-16,16-17,17-19,19-10,10-8 3921.17969381
12 8 1 12-0,0-16,16-17,17-18,18-19,19-10,10-8 4029.12973963
12 8 2 12-11,11-3,3-22,22-21,21-8 5235.99446157
12 8 3 12-0,0-3,3-22,22-9,9-21,21-8 5099.95803012
12 8 4 12-0,0-16,16-17,17-19,19-6,6-4,4-5,5-8 4645.26211919
12 8 5 12-11,11-3,3-22,22-9,9-21,21-8 5600.34841305
1 21 0 1-16,16-17,17-19,19-20,20-21 2761.17011218
1 21 1 1-16,16-17,17-18,18-19,19-20,20-21 2869.120158
1 21 2 1-7,7-4,4-5,5-8,8-21 3414.18435031
1 21 3 1-16,16-15,15-13,13-22,22-21 3107.27743721
1 21 4 1-7,7-6,6-19,19-10,10-8,8-21 4062.16183586
1 21 5 1-16,16-15,15-13,13-22,22-9,9-21 3471.6313887
15 13 0 15-13 711.145707775
15 13 1 15-16,16-17,17-19,19-20,20-21,21-22,22-13 3027.63689899
15 13 2 15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-13 3135.58694481
15 13 3 15-16,16-0,0-3,3-22,22-13 5383.9845881
15 13 4 15-16,16-17,17-19,19-10,10-8,8-21,21-9,9-22,22-13 4005.35073204
15 13 5 15-16,16-17,17-19,19-6,6-4,4-5,5-8,8-21,21-22,22-13 4365.07920593
2 18 0 2-3,3-0,0-16,16-17,17-18 2861.37606664
2 18 1 2-14,14-3,3-0,0-16,16-17,17-18 3360.16219624
2 18 2 2-3,3-22,22-21,21-20,20-19,19-18 3652.7197822
2 18 3 2-3,3-22,22-9,9-21,21-8,8-10,10-19,19-18 4630.43361525
2 18 4 2-14,14-3,3-22,22-21,21-20,20-19,19-18 4151.5059118
2 18 5 2-3,3-0,0-16,16-17,17-19,19-18 2861.79827083
0 14 0 0-3,3-14 916.090011183
0 14 1 0-3,3-2,2-14 916.395683939
0 14 2 0-12,12-11,11-3,3-14 3244.71878446
0 14 3 0-16,16-15,15-13,13-22,22-3,3-14 5868.48104402
0 14 4 0-16,16-17,17-19,19-20,20-21,21-22,22-3,3-2,2-14 5988.84192144
0 14 5 0-12,12-11,11-3,3-2,2-14 3245.02445721
3 11 0 3-11 1635.54717805
3 11 1 3-0,0-12,12-11 1835.82085826
3 11 2 3-22,22-13,13-15,15-16,16-0,0-12,12-11 6788.2118911
3 11 3 3-22,22-21,21-20,20-19,19-17,17-16,16-0,0-12,12-11 6908.26709576
3 11 4 3-22,22-9,9-21,21-8,8-10,10-19,19-18,18-17,17-16,16-0,0-12,12-11 7993.93097463
3 11 5 3-22,22-21,21-8,8-5,5-4,4-6,6-19,19-17,17-16,16-0,0-12,12-11 8245.7094027
1 15 0 1-16,16-15 1795.44540235
1 15 1 1-7,7-6,6-19,19-17,17-16,16-15 3813.83817168
1 15 2 1-16,16-17,17-19,19-20,20-21,21-22,22-13,13-15 4073.00214704
1 15 3 1-7,7-4,4-5,5-8,8-21,21-22,22-13,13-15 4726.01638518
1 15 4 1-7,7-6,6-19,19-18,18-17,17-16,16-15 3921.7882175
1 15 5 1-16,16-17,17-19,19-20,20-21,21-9,9-22,22-13,13-15 4437.35609853
4 12 0 4-6,6-19,19-17,17-16,16-0,0-12 4005.9050314
4 12 1 4-5,5-8,8-21,21-22,22-3,3-0,0-12 5374.96116643
4 12 2 4-6,6-19,19-17,17-16,16-0,0-3,3-11,11-12 5649.03467737
4 12 3 4-7,7-1,1-16,16-0,0-12 5451.14190522
4 12 4 4-5,5-8,8-21,21-22,22-3,3-11,11-12 5875.35154936
4 12 5 4-6,6-7,7-1,1-16,16-0,0-12 5657.42937387
2 12 0 2-3,3-0,0-12 1580.96897793
2 12 1 2-14,14-3,3-0,0-12 2079.75510753
2 12 2 2-3,3-11,11-12 2081.35936086
2 12 3 2-14,14-3,3-11,11-12 2580.14549047
2 12 4 2-3,3-22,22-13,13-15,15-16,16-0,0-12 6533.36001077
2 12 5 2-3,3-22,22-21,21-20,20-19,19-17,17-16,16-0,0-12 6653.41521543
5 1 0 5-4,4-7,7-1 2493.82572215
5 1 1 5-4,4-6,6-7,7-1 2700.11319081
5 1 2 5-8,8-10,10-19,19-17,17-16,16-1 2738.85077541
5 1 3 5-8,8-21,21-22,22-13,13-15,15-16,16-1 4027.63606537
5 1 4 5-4,4-6,6-19,19-18,18-17,17-16,16-1 3286.20383678
5 1 5 5-8,8-21,21-20,20-19,19-6,6-7,7-1 4369.16058245
3 17 0 3-0,0-16,16-17 2660.26801454
3 17 1 3-22,22-21,21-20,20-19,19-17 3554.917486
3 17 2 3-22,22-21,21-20,20-19,19-18,18-17 3662.86753182
3 17 3 3-11,11-12,12-0,0-16,16-17 4988.89678781
3 17 4 3-22,22-9,9-21,21-8,8-10,10-19,19-17 4532.63131905
3 17 5 3-22,22-13,13-15,15-16,16-17 4661.89524846
16 7 0 16-17,17-19,19-6,6-7 1660.67783699
16 7 1 16-17,17-18,18-19,19-6,6-7 1768.62788281
16 7 2 16-1,1-7 2487.37987498
16 7 3 16-15,15-13,13-22,22-21,21-8,8-5,5-4,4-7 4034.08191255
16 7 4 16-17,17-19,19-6,6-4,4-7 2190.66487238
16 7 5 16-17,17-19,19-10,10-8,8-5,5-4,4-7 2745.29662259
6 14 0 6-19,19-17,17-16,16-0,0-3,3-14 3639.73859538
6 14 1 6-19,19-17,17-16,16-0,0-3,3-2,2-14 3640.04426814
6 14 2 6-4,4-5,5-8,8-21,21-22,22-3,3-14 4602.32997142
6 14 3 6-19,19-20,20-21,21-9,9-22,22-3,3-14 4795.01405824
6 14 4 6-7,7-1,1-16,16-0,0-3,3-2,2-14 5291.56861062
6 14 5 6-19,19-20,20-21,21-22,22-3,3-14 4430.66010675
19 18 0 19-18 54.1861250084
19 18 1 19-17,17-18 157.491880901
19 18 2 19-20,20-21,21-22,22-13,13-15,15-16,16-17,17-18 3792.54652757
19 18 3 19-6,6-7,7-1,1-16,16-17,17-18 4201.82163278
19 18 4 19-10,10-8,8-5,5-4,4-7,7-1,1-16,16-17,17-18 5286.44041837
19 18 5 19-20,20-21,21-9,9-22,22-13,13-15,15-16,16-17,17-18 4156.90047906
17 6 0 17-19,19-6 634.75020118
17 6 1 17-18,18-19,19-6 742.700247
17 6 2 17-19,19-10,10-8,8-5,5-4,4-6 1925.65645543
17 6 3 17-16,16-1,1-7,7-6 3513.30751078
17 6 4 17-16,16-15,15-13,13-22,22-21,21-20,20-19,19-6 4269.80484785
17 6 5 17-16,16-1,1-7,7-4,4-6 4043.29454618
7 15 0 7-6,6-19,19-17,17-16,16-15 2391.29076802
7 15 1 7-6,6-19,19-18,18-17,17-16,16-15 2499.24081384
7 15 2 7-4,4-5,5-8,8-21,21-22,22-13,13-15 3303.46898152
7 15 3 7-1,1-16,16-15 3217.99280601
7 15 4 7-4,4-5,5-8,8-21,21-9,9-22,22-13,13-15 3667.822933
7 15 5 7-6,6-19,19-20,20-21,21-22,22-13,13-15 3338.0865855
20 21 0 20-21 554.782580601
20 21 1 20-19,19-10,10-8,8-21 2120.49165547
20 21 2 20-19,19-6,6-4,4-5,5-8,8-21 2844.57408085
20 21 3 20-19,19-17,17-16,16-15,15-13,13-22,22-21 3184.00002616
20 21 4 20-19,19-18,18-17,17-16,16-0,0-3,3-22,22-21 5768.35296576
20 21 5 20-19,19-6,6-7,7-4,4-5,5-8,8-21 3463.10891668
18 5 0 18-19,19-10,10-8,8-5 1062.82396549
18 5 1 18-17,17-19,19-10,10-8,8-5 1166.12972139
18 5 2 18-19,19-6,6-4,4-5 1502.22698105
18 5 3 18-17,17-16,16-1,1-7,7-4,4-5 4277.80257789
18 5 4 18-19,19-20,20-21,21-8,8-5 2005.50193042
18 5 5 18-17,17-19,19-6,6-4,4-5 1605.53273694
21 8 0 21-8 778.018923245
21 8 1 21-20,20-19,19-10,10-8 1897.25531283
21 8 2 21-20,20-19,19-6,6-4,4-5,5-8 2621.33773821
21 8 3 21-22,22-13,13-15,15-16,16-17,17-19,19-10,10-8 3574.12356508
21 8 4 21-20,20-19,19-6,6-7,7-4,4-5,5-8 3239.87257404
21 8 5 21-9,9-22,22-13,13-15,15-16,16-17,17-18,18-19,19-10,10-8 4046.42756239
22 7 0 22-21,21-8,8-5,5-4,4-7 2224.7182115
22 7 1 22-21,21-20,20-19,19-6,6-7 2259.33581548
22 7 2 22-9,9-21,21-8,8-5,5-4,4-7 2589.07216298
22 7 3 22-13,13-15,15-16,16-1,1-7 4296.74357603
22 7 4 22-13,13-15,15-16,16-17,17-19,19-6,6-7 3470.04153804
22 7 5 22-9,9-21,21-20,20-19,19-6,6-7 2623.68976697
10 9 0 10-8,8-21,21-9 1152.51114674
10 9 1 10-8,8-21,21-22,22-9 1592.75980411
10 9 2 10-19,19-20,20-21,21-9 1913.03091314
10 9 3 10-19,19-17,17-16,16-15,15-13,13-22,22-9 3563.98529307
10 9 4 10-8,8-5,5-4,4-6,6-19,19-20,20-21,21-9 2995.8299617
10 9 5 10-19,19-18,18-17,17-16,16-15,15-13,13-22,22-9 3671.93533889
11 4 0 11-12,12-0,0-16,16-17,17-19,19-6,6-4 4356.23706297
11 4 1 11-12,12-0,0-16,16-17,17-18,18-19,19-6,6-4 4464.18710879
11 4 2 11-3,3-22,22-21,21-8,8-5,5-4 5525.01951779
11 4 3 11-3,3-22,22-9,9-21,21-8,8-5,5-4 5889.37346927
11 4 4 11-12,12-0,0-16,16-1,1-7,7-4 5801.47393679
11 4 5 11-3,3-0,0-16,16-17,17-19,19-6,6-7,7-4 5917.23748163
9 20 0 9-21,21-20 749.916492506
9 20 1 9-22,22-21,21-20 1190.16514988
9 20 2 9-21,21-8,8-10,10-19,19-20 2315.62556738
9 20 3 9-22,22-13,13-15,15-16,16-17,17-19,19-20 3353.22006574
9 20 4 9-21,21-8,8-5,5-4,4-6,6-19,19-20 3039.70799276
9 20 5 9-22,22-13,13-15,15-16,16-17,17-18,18-19,19-20 3461.17011156
14 19 0 14-3,3-0,0-16,16-17,17-19 3056.85237425
14 19 1 14-2,2-3,3-0,0-16,16-17,17-19 3057.158047
14 19 2 14-3,3-22,22-21,21-20,20-19 3847.77388562
14 19 3 14-3,3-22,22-9,9-21,21-8,8-10,10-19 4825.48771867
14 19 4 14-2,2-3,3-22,22-21,21-20,20-19 3848.07955837
14 19 5 14-3,3-22,22-13,13-15,15-16,16-17,17-18,18-19 5166.42965399
12 7 0 12-0,0-16,16-17,17-19,19-6,6-7 4050.17893162
12 7 1 12-11,11-3,3-0,0-16,16-17,17-19,19-6,6-7 5693.30857759
12 7 2 12-0,0-3,3-22,22-21,21-8,8-5,5-4,4-7 5949.22210204
12 7 3 12-0,0-16,16-1,1-7 4876.8809696
12 7 4 12-11,11-3,3-22,22-21,21-20,20-19,19-6,6-7 6484.23008896
12 7 5 12-0,0-16,16-17,17-18,18-19,19-10,10-8,8-5,5-4,4-7 5242.74776303
10 19 0 10-19 686.939823986
10 19 1 10-8,8-5,5-4,4-6,6-19 1769.73887254
10 19 2 10-8,8-21,21-20,20-19 1988.33441209
10 19 3 10-8,8-21,21-22,22-13,13-15,15-16,16-17,17-19 3665.20266434
10 19 4 10-8,8-5,5-4,4-7,7-6,6-19 2388.27370837
10 19 5 10-8,8-21,21-22,22-3,3-0,0-16,16-17,17-18,18-19 6249.55560394
15 10 0 15-16,16-17,17-19,19-10 2082.93321863
15 10 1 15-16,16-17,17-18,18-19,19-10 2190.88326445
15 10 2 15-13,13-22,22-21,21-8,8-10 2269.2092697
15 10 3 15-13,13-22,22-9,9-21,21-20,20-19,19-6,6-4,4-5,5-8,8-10 4476.88203615
15 10 4 15-13,13-22,22-9,9-21,21-8,8-10 2633.56322118
15 10 5 15-13,13-22,22-21,21-20,20-19,19-10 3029.72903611
13 6 0 13-22,22-21,21-20,20-19,19-6 2214.52972548
13 6 1 13-22,22-21,21-8,8-5,5-4,4-6 2386.19959015
13 6 2 13-15,15-16,16-17,17-19,19-6 2690.02532355
13 6 3 13-15,15-16,16-1,1-7,7-6 4341.54966603
13 6 4 13-22,22-9,9-21,21-8,8-10,10-19,19-6 3192.24355853
13 6 5 13-15,15-16,16-17,17-18,18-19,19-6 2797.97536937
0 5 0 0-16,16-17,17-19,19-10,10-8,8-5 3149.40020355
0 5 1 0-16,16-17,17-19,19-6,6-4,4-5 3588.8032191
0 5 2 0-3,3-22,22-21,21-8,8-5 3963.82458837
0 5 3 0-16,16-1,1-7,7-4,4-5 5034.04009292
0 5 4 0-3,3-22,22-9,9-21,21-8,8-5 4328.17853986
0 5 5 0-16,16-1,1-7,7-6,6-4,4-5 5240.32756158
1 0 0 1-16,16-0 2540.21437077
1 0 1 1-7,7-6,6-19,19-17,17-16,16-0 4558.60714011
1 0 2 1-16,16-15,15-13,13-22,22-3,3-0 5684.58086773
1 0 3 1-7,7-4,4-5,5-8,8-10,10-19,19-18,18-17,17-16,16-0 5751.17597152
1 0 4 1-7,7-6,6-19,19-20,20-21,21-22,22-3,3-0 6492.26791451
1 0 5 1-16,16-17,17-19,19-20,20-21,21-9,9-22,22-3,3-0 6168.99002388
4 11 0 4-6,6-19,19-17,17-16,16-0,0-12,12-11 4356.23706297
4 11 1 4-6,6-19,19-18,18-17,17-16,16-0,0-12,12-11 4464.18710879
4 11 2 4-5,5-8,8-21,21-22,22-3,3-11 5525.01951779
4 11 3 4-5,5-8,8-21,21-9,9-22,22-3,3-11 5889.37346927
4 11 4 4-7,7-1,1-16,16-0,0-12,12-11 5801.47393679
4 11 5 4-7,7-6,6-19,19-17,17-16,16-0,0-3,3-11 5917.23748163
2 7 0 2-3,3-0,0-16,16-17,17-19,19-6,6-7 3802.9095192
2 7 1 2-14,14-3,3-0,0-16,16-17,17-19,19-6,6-7 4301.69564881
2 7 2 2-3,3-22,22-21,21-8,8-5,5-4,4-7 4559.21342659
2 7 3 2-3,3-0,0-16,16-1,1-7 4629.61155719
2 7 4 2-3,3-22,22-9,9-21,21-8,8-5,5-4,4-7 4923.56737807
2 7 5 2-14,14-3,3-22,22-21,21-20,20-19,19-6,6-7 5092.61716018
5 10 0 5-8,8-10 321.6980165
