s t k edges
22 19 3 22-23,23-12,12-26,26-14,14-19 886.604940149
22 19 4 22-21,21-14,14-28,28-13,13-19 753.272298164
22 19 5 22-23,23-12,12-10,10-14,14-19 889.933483202
20 7 0 20-14,14-13,13-11,11-7 850.447050982
20 7 1 20-14,14-26,26-12,12-17,17-7 853.548004667
20 7 2 20-9,9-13,13-11,11-7 17237.5144615
20 7 3 20-14,14-10,10-12,12-8,8-17,17-7 861.702324418
20 7 4 20-14,14-25,25-24,24-12,12-5,5-17,17-7 873.22866473
20 7 5 20-14,14-19,19-13,13-11,11-7 857.264740296
18 19 0 18-11,11-13,13-19 486.510135481
18 19 1 18-1,1-3,3-11,11-13,13-19 603.349578696
18 19 2 18-17,17-12,12-10,10-14,14-19 939.2521185
18 19 3 18-17,17-8,8-12,12-13,13-19 662.057286544
18 19 4 18-6,6-17,17-15,15-16,16-11,11-13,13-19 647.401173151
18 19 5 18-11,11-0,0-4,4-17,17-5,5-12,12-13,13-19 673.826559071
23 26 0 23-12,12-26 424.604952182
23 26 1 23-22,22-21,21-14,14-26 593.159249595
23 26 2 23-12,12-10,10-14,14-26 816.07954239
23 26 3 23-12,12-24,24-25,25-14,14-26 816.07954239
23 26 4 23-22,22-21,21-14,14-13,13-12,12-26 906.973244804
23 26 5 23-12,12-27,27-28,28-14,14-26 1024.32973485
21 6 0 21-14,14-13,13-11,11-16,16-15,15-17,17-6 849.404962084
21 6 1 21-22,22-23,23-12,12-17,17-6 933.96783417
21 6 2 21-14,14-13,13-11,11-18,18-6 892.88313456
21 6 3 21-14,14-26,26-12,12-8,8-17,17-6 855.560578241
21 6 4 21-14,14-10,10-12,12-5,5-17,17-6 870.415461606
21 6 5 21-14,14-25,25-24,24-12,12-17,17-6 854.063344596
8 5 0 8-17,17-5 247.042338218
8 5 1 8-12,12-5 317.894332257
8 5 2 8-12,12-17,17-5 458.881674688
8 5 3 8-17,17-15,15-16,16-11,11-13,13-12,12-5 759.725142426
8 5 4 8-17,17-12,12-5 649.813772554
8 5 5 8-12,12-2,2-13,13-11,11-0,0-4,4-17,17-5 741.466013071
9 0 0 9-13,13-11,11-0 8547.43686502
9 0 1 9-13,13-11,11-16,16-15,15-17,17-4,4-0 8659.41528307
9 0 2 9-20,20-14,14-10,10-12,12-17,17-4,4-0 9451.57421944
9 0 3 9-13,13-12,12-8,8-17,17-7,7-11,11-0 8818.60687309
9 0 4 9-13,13-12,12-5,5-17,17-4,4-0 8729.06288201
9 0 5 9-13,13-12,12-17,17-7,7-11,11-0 8813.78109639
10 7 0 10-12,12-17,17-7 582.195478276
10 7 1 10-12,12-8,8-17,17-7 587.021254974
10 7 2 10-14,14-13,13-11,11-7 708.948162138
10 7 3 10-12,12-5,5-17,17-15,15-16,16-11,11-7 714.433470345
10 7 4 10-14,14-26,26-12,12-17,17-7 712.049115824
10 7 5 10-12,12-13,13-11,11-7 690.335733922
11 22 0 11-13,13-12,12-23,23-22 715.832305122
11 22 1 11-16,16-15,15-17,17-12,12-23,23-22 723.577924536
11 22 2 11-13,13-14,14-21,21-22 836.615214548
11 22 3 11-0,0-4,4-17,17-8,8-12,12-23,23-22 728.4155366
11 22 4 11-13,13-19,19-14,14-21,21-22 843.432903863
11 22 5 11-7,7-17,17-5,5-12,12-23,23-22 835.321801705
0 17 0 0-4,4-17 55.9951267082
0 17 1 0-11,11-16,16-15,15-17 61.6736979435
0 17 2 0-11,11-7,7-17 157.065458103
0 17 3 0-11,11-18,18-17 284.866382355
0 17 4 0-11,11-3,3-1,1-18,18-6,6-17 445.170970805
0 17 5 0-11,11-13,13-12,12-17 597.686855297
24 14 0 24-25,25-14 66.5910903003
24 14 1 24-12,12-26,26-14 586.731852647
24 14 2 24-12,12-10,10-14 590.060395699
24 14 3 24-12,12-13,13-14 638.697495117
24 14 4 24-12,12-27,27-28,28-14 798.310588157
24 14 5 24-12,12-2,2-13,13-19,19-14 818.176317576
14 1 0 14-13,13-11,11-18,18-1 665.925021105
14 1 1 14-13,13-11,11-3,3-1 747.774711829
14 1 2 14-26,26-12,12-17,17-18,18-1 784.680753
14 1 3 14-19,19-13,13-11,11-3,3-1 754.592401143
14 1 4 14-10,10-12,12-17,17-18,18-1 788.009296053
14 1 5 14-28,28-13,13-11,11-18,18-1 690.501535294
12 17 0 12-17 271.879388384
12 17 1 12-8,8-17 276.705165082
12 17 2 12-5,5-17 288.231505393
12 17 3 12-13,13-11,11-16,16-15,15-17 381.790758256
12 17 4 12-2,2-13,13-11,11-0,0-4,4-17 554.463726766
12 17 5 12-27,27-28,28-13,13-11,11-7,7-17 661.707753714
1 28 0 1-18,18-11,11-13,13-28 395.309932812
1 28 1 1-3,3-11,11-13,13-28 477.159623536
1 28 2 1-18,18-17,17-12,12-27,27-28 701.067886029
1 28 3 1-18,18-17,17-8,8-12,12-13,13-28 570.857083876
1 28 4 1-18,18-6,6-17,17-15,15-16,16-11,11-13,13-28 556.200970483
1 28 5 1-18,18-11,11-0,0-4,4-17,17-5,5-12,12-13,13-28 582.626356403
25 15 0 25-14,14-13,13-11,11-16,16-15 595.546748871
25 15 1 25-14,14-13,13-11,11-0,0-4,4-17,17-15 595.558584237
25 15 2 25-24,24-12,12-17,17-15 600.205131383
25 15 3 25-14,14-26,26-12,12-8,8-17,17-15 601.702365029
25 15 4 25-24,24-12,12-5,5-17,17-15 616.557248393
25 15 5 25-14,14-19,19-13,13-11,11-16,16-15 602.364438186
15 4 0 15-17,17-4 0.0
15 4 1 15-16,16-11,11-0,0-4 117.668824652
15 4 2 15-16,16-11,11-7,7-17,17-4 213.048749445
15 4 3 15-17,17-18,18-11,11-0,0-4 340.861509063
15 4 4 15-16,16-11,11-3,3-1,1-18,18-6,6-17,17-4 501.154262147
15 4 5 15-17,17-12,12-13,13-11,11-0,0-4 653.681982005
13 20 0 13-14,14-20 503.449395661
13 20 1 13-19,19-14,14-20 510.267084975
13 20 2 13-9,9-20 16890.5168062
13 20 3 13-28,28-14,14-20 528.02590985
13 20 4 13-12,12-26,26-14,14-20 614.690604992
13 20 5 13-2,2-12,12-10,10-14,14-20 790.68028119
2 27 0 2-12,12-27 238.825728025
2 27 1 2-13,13-12,12-27 281.009617699
2 27 2 2-13,13-28,28-27 281.567492221
2 27 3 2-12,12-13,13-28,28-27 402.590454348
2 27 4 2-13,13-11,11-16,16-15,15-17,17-12,12-27 771.472912536
2 27 5 2-13,13-14,14-26,26-12,12-27 819.762808262
26 12 0 26-12 130.924176369
26 12 1 26-14,14-10,10-12 522.398766578
26 12 2 26-14,14-25,25-24,24-12 522.398766578
26 12 3 26-14,14-13,13-12 571.035865995
26 12 4 26-14,14-28,28-27,27-12 730.648959035
26 12 5 26-14,14-19,19-13,13-2,2-12 750.514688454
3 2 0 3-11,11-13,13-2 501.804265517
3 2 1 3-1,1-18,18-11,11-13,13-2 536.021657202
3 2 2 3-11,11-16,16-15,15-17,17-12,12-2 630.572847059
3 2 3 3-11,11-0,0-4,4-17,17-8,8-12,12-2 635.410459123
3 2 4 3-1,1-18,18-17,17-12,12-2 664.559141894
3 2 5 3-11,11-13,13-12,12-2 622.827227645
27 1 0 27-28,28-13,13-11,11-18,18-1 544.7105854
27 1 1 27-12,12-17,17-18,18-1 551.667233442
27 1 2 27-12,12-13,13-11,11-3,3-1 626.002401602
27 1 3 27-12,12-8,8-17,17-6,6-18,18-1 599.958155374
27 1 4 27-28,28-13,13-11,11-3,3-1 626.560276124
27 1 5 27-12,12-5,5-17,17-18,18-1 568.019350451
4 5 0 4-17,17-5 78.6697297202
4 5 1 4-0,0-11,11-16,16-15,15-17,17-5 196.338554372
4 5 2 4-17,17-12,12-5 481.441164056
4 5 3 4-17,17-8,8-12,12-5 486.266940754
4 5 4 4-0,0-11,11-7,7-17,17-5 291.730314531
4 5 5 4-0,0-11,11-13,13-12,12-5 591.364369294
28 10 0 28-14,14-10 361.782692782
28 10 1 28-13,13-12,12-10 368.082406824
28 10 2 28-13,13-14,14-10 386.694835041
28 10 3 28-27,27-12,12-10 503.118985676
28 10 4 28-13,13-19,19-14,14-10 393.512524355
28 10 5 28-13,13-2,2-12,12-10 540.743539969
5 24 0 5-12,12-24 471.296428372
5 24 1 5-12,12-26,26-14,14-25,25-24 601.15006592
5 24 2 5-17,17-12,12-24 612.283770803
5 24 3 5-17,17-8,8-12,12-24 617.109547501
5 24 4 5-12,12-10,10-14,14-25,25-24 604.478608973
5 24 5 5-17,17-15,15-16,16-11,11-13,13-12,12-24 722.195140675
16 0 0 16-15,15-17,17-4,4-0 55.9951267082
16 0 1 16-11,11-0 61.6736979435
16 0 2 16-15,15-17,17-7,7-11,11-0 157.065458103
16 0 3 16-11,11-18,18-17,17-4,4-0 396.844800406
16 0 4 16-15,15-17,17-6,6-18,18-1,1-3,3-11,11-0 445.170970805
16 0 5 16-11,11-7,7-17,17-4,4-0 269.043876153
6 23 0 6-17,17-12,12-23 677.14999278
6 23 1 6-17,17-8,8-12,12-23 681.975769478
6 23 2 6-18,18-11,11-13,13-14,14-21,21-22,22-23 1149.70097595
6 23 3 6-18,18-17,17-5,5-12,12-23 854.406174702
6 23 4 6-17,17-15,15-16,16-11,11-13,13-12,12-23 787.061362652
6 23 5 6-18,18-17,17-12,12-23 838.054057693
19 13 0 19-13 133.439407138
19 13 1 19-14,14-13 464.097115209
19 13 2 19-14,14-28,28-13 488.673629398
19 13 3 19-14,14-26,26-12,12-13 575.33832454
19 13 4 19-14,14-10,10-12,12-2,2-13 751.328000738
19 13 5 19-14,14-25,25-24,24-12,12-13 578.666867593
17 13 0 17-15,15-16,16-11,11-13 300.187332355
17 13 1 17-4,4-0,0-11,11-13 300.199167721
17 13 2 17-12,12-13 353.482814284
17 13 3 17-8,8-12,12-2,2-13 530.969724127
17 13 4 17-5,5-12,12-27,27-28,28-13 554.360166593
17 13 5 17-7,7-11,11-13 395.579092514
7 22 0 7-17,17-12,12-23,23-22 713.330867085
7 22 1 7-17,17-8,8-12,12-23,23-22 718.156643783
7 22 2 7-11,11-13,13-14,14-21,21-22 942.254032158
7 22 3 7-11,11-16,16-15,15-17,17-5,5-12,12-23,23-22 845.568859155
7 22 4 7-17,17-4,4-0,0-11,11-13,13-14,14-21,21-22 944.03698175
7 22 5 7-11,11-13,13-12,12-23,23-22 821.471122731
20 14 0 20-14 208.089979144
20 14 1 20-9,9-13,13-14 17185.8762227
20 14 2 20-9,9-13,13-19,19-14 17192.693912
20 14 3 20-9,9-13,13-28,28-14 17210.4527369
20 14 4 20-9,9-13,13-12,12-26,26-14 17297.1174321
20 14 5 20-9,9-13,13-2,2-12,12-10,10-14 17473.1071083
18 10 0 18-11,11-13,13-12,12-10 696.408806943
18 10 1 18-17,17-12,12-10 703.923329507
18 10 2 18-11,11-13,13-14,14-10 715.021235159
18 10 3 18-6,6-17,17-8,8-12,12-10 752.214251439
18 10 4 18-17,17-5,5-12,12-10 720.275446516
18 10 5 18-11,11-13,13-19,19-14,14-10 721.838924473
23 19 0 23-12,12-13,13-19 508.723608851
23 19 1 23-22,22-21,21-14,14-19 567.82392471
23 19 2 23-12,12-2,2-13,13-19 681.384741996
23 19 3 23-12,12-26,26-14,14-19 787.415674452
23 19 4 23-12,12-27,27-28,28-13,13-19 693.24884415
23 19 5 23-12,12-10,10-14,14-19 790.744217504
21 15 0 21-14,14-13,13-11,11-16,16-15 737.815133499
21 15 1 21-14,14-13,13-11,11-0,0-4,4-17,17-15 737.826968865
21 15 2 21-22,22-23,23-12,12-17,17-15 822.378005585
21 15 3 21-14,14-26,26-12,12-8,8-17,17-15 743.970749657
21 15 4 21-14,14-10,10-12,12-5,5-17,17-15 758.825633021
21 15 5 21-14,14-19,19-13,13-11,11-16,16-15 744.632822814
8 12 0 8-12 108.332556584
8 12 1 8-17,17-12 440.251996881
8 12 2 8-17,17-5,5-12 456.604113891
8 12 3 8-17,17-15,15-16,16-11,11-13,13-12 550.163366753
8 12 4 8-17,17-4,4-0,0-11,11-13,13-2,2-12 722.836335264
8 12 5 8-17,17-7,7-11,11-13,13-28,28-27,27-12 830.080362211
22 12 0 22-23,23-12 392.870041509
22 12 1 22-21,21-14,14-26,26-12 624.894160267
22 12 2 22-21,21-14,14-10,10-12 628.22270332
22 12 3 22-21,21-14,14-25,25-24,24-12 628.22270332
22 12 4 22-21,21-14,14-13,13-12 676.859802737
22 12 5 22-21,21-14,14-28,28-27,27-12 836.472895778
23 9 0 23-12,12-13,13-9 8678.51702572
23 9 1 23-12,12-2,2-13,13-9 8851.17815886
23 9 2 23-22,22-21,21-14,14-20,20-9 9194.46018736
23 9 3 23-12,12-27,27-28,28-13,13-9 8863.04226102
23 9 4 23-22,22-21,21-14,14-13,13-9 8997.67846654
23 9 5 23-12,12-17,17-15,15-16,16-11,11-13,13-9 9168.98032056
10 14 0 10-14 66.5910903003
10 14 1 10-12,12-26,26-14 586.731852647
10 14 2 10-12,12-24,24-25,25-14 590.060395699
10 14 3 10-12,12-13,13-14 638.697495117
10 14 4 10-12,12-27,27-28,28-14 798.310588157
10 14 5 10-12,12-2,2-13,13-19,19-14 818.176317576
8 18 0 8-17,17-18 338.681896921
8 18 1 8-17,17-15,15-16,16-11,11-18 338.912993771
8 18 2 8-12,12-13,13-11,11-18 543.006710827
8 18 3 8-12,12-17,17-6,6-18 593.986378626
8 18 4 8-12,12-5,5-17,17-18 566.873350401
8 18 5 8-17,17-4,4-0,0-11,11-18 338.924829137
11 15 0 11-16,16-15 58.828494643
11 15 1 11-0,0-4,4-17,17-15 58.8403300087
11 15 2 11-7,7-17,17-15 154.220254802
11 15 3 11-18,18-17,17-15 282.021179054
11 15 4 11-3,3-1,1-18,18-6,6-17,17-15 442.325767504
11 15 5 11-13,13-12,12-17,17-15 594.841651996
9 19 0 9-13,13-19 8436.67223114
9 19 1 9-13,13-14,14-19 8767.32993921
9 19 2 9-20,20-14,14-19 8964.11166004
9 19 3 9-13,13-28,28-14,14-19 8791.9064534
9 19 4 9-20,20-14,14-13,13-19 9224.172785
9 19 5 9-13,13-12,12-26,26-14,14-19 8878.57114855
24 21 0 24-25,25-14,14-21 208.859474928
24 21 1 24-12,12-26,26-14,14-21 729.000237275
24 21 2 24-12,12-23,23-22,22-21 812.233269901
24 21 3 24-12,12-10,10-14,14-21 732.328780327
24 21 4 24-12,12-13,13-14,14-21 780.965879745
24 21 5 24-25,25-14,14-26,26-12,12-23,23-22,22-21 942.086907449
14 8 0 14-26,26-12,12-8 433.329756531
14 8 1 14-10,10-12,12-8 436.658299584
14 8 2 14-13,13-11,11-16,16-15,15-17,17-8 763.919357369
14 8 3 14-25,25-24,24-12,12-8 436.658299584
14 8 4 14-19,19-13,13-12,12-8 492.113088316
14 8 5 14-13,13-11,11-0,0-4,4-17,17-8 763.931192734
12 8 0 12-8 108.332556584
12 8 1 12-17,17-8 440.251996881
12 8 2 12-5,5-17,17-8 456.604113891
12 8 3 12-13,13-11,11-16,16-15,15-17,17-8 550.163366753
12 8 4 12-2,2-13,13-11,11-0,0-4,4-17,17-8 722.836335264
12 8 5 12-27,27-28,28-13,13-11,11-7,7-17,17-8 830.080362211
1 21 0 1-18,18-11,11-13,13-14,14-21 808.193405733
1 21 1 1-3,3-11,11-13,13-14,14-21 890.043096457
1 21 2 1-18,18-17,17-12,12-23,23-22,22-21 1010.18217025
1 21 3 1-3,3-11,11-13,13-19,19-14,14-21 896.860785771
1 21 4 1-18,18-17,17-12,12-26,26-14,14-21 926.949137628
1 21 5 1-18,18-11,11-13,13-28,28-14,14-21 832.769919922
25 16 0 25-14,14-13,13-11,11-16 595.546748871
25 16 1 25-14,14-13,13-11,11-0,0-4,4-17,17-15,15-16 595.558584237
25 16 2 25-24,24-12,12-17,17-15,15-16 600.205131383
25 16 3 25-14,14-19,19-13,13-11,11-16 602.364438186
25 16 4 25-24,24-12,12-8,8-17,17-15,15-16 605.030908081
25 16 5 25-14,14-28,28-13,13-11,11-16 620.12326306
15 13 0 15-16,16-11,11-13 300.187332355
15 13 1 15-17,17-4,4-0,0-11,11-13 300.199167721
15 13 2 15-17,17-12,12-13 353.482814284
15 13 3 15-17,17-8,8-12,12-2,2-13 530.969724127
15 13 4 15-17,17-5,5-12,12-13 369.834931294
15 13 5 15-17,17-12,12-27,27-28,28-13 538.008049584
2 18 0 2-13,13-11,11-18 460.493239752
2 18 1 2-13,13-11,11-3,3-1,1-18 577.332682968
2 18 2 2-12,12-17,17-18 589.030724444
2 18 3 2-12,12-8,8-17,17-18 593.856501141
2 18 4 2-12,12-5,5-17,17-15,15-16,16-11,11-18 605.613938303
2 18 5 2-13,13-12,12-17,17-18 631.214614117
26 23 0 26-12,12-23 424.604952182
26 23 1 26-14,14-21,21-22,22-23 593.159249595
26 23 2 26-14,14-10,10-12,12-23 816.07954239
26 23 3 26-14,14-25,25-24,24-12,12-23 816.07954239
26 23 4 26-12,12-13,13-14,14-21,21-22,22-23 906.973244804
26 23 5 26-14,14-28,28-27,27-12,12-23 1024.32973485
0 14 0 0-11,11-13,13-14 539.563457529
0 14 1 0-11,11-13,13-19,19-14 546.381146843
0 14 2 0-4,4-17,17-12,12-26,26-14 652.871715039
0 14 3 0-4,4-17,17-8,8-12,12-10,10-14 661.02603479
0 14 4 0-11,11-13,13-28,28-14 564.139971718
0 14 5 0-4,4-17,17-12,12-24,24-25,25-14 656.200258092
3 11 0 3-11 153.022916396
3 11 1 3-1,1-18,18-11 187.240308081
3 11 2 3-1,1-18,18-17,17-15,15-16,16-11 304.666200517
3 11 3 3-1,1-18,18-6,6-17,17-4,4-0,0-11 348.143181117
3 11 4 3-1,1-18,18-17,17-7,7-11 400.057960676
3 11 5 3-1,1-18,18-17,17-12,12-13,13-11 840.67935787
27 6 0 27-12,12-17,17-6 475.452897357
27 6 1 27-28,28-13,13-11,11-16,16-15,15-17,17-6 585.922141751
27 6 2 27-12,12-13,13-11,11-18,18-6 628.842439705
27 6 3 27-12,12-8,8-17,17-18,18-6 641.182738967
27 6 4 27-12,12-5,5-17,17-6 491.805014366
27 6 5 27-28,28-13,13-11,11-0,0-4,4-17,17-6 585.933977116
1 15 0 1-18,18-17,17-15 187.80416467
1 15 1 1-18,18-11,11-16,16-15 188.03526152
1 15 2 1-3,3-11,11-16,16-15 269.884952243
1 15 3 1-18,18-6,6-17,17-15 231.269309904
1 15 4 1-3,3-11,11-0,0-4,4-17,17-15 269.896787609
1 15 5 1-18,18-11,11-7,7-17,17-15 283.427021679
4 12 0 4-17,17-12 271.879388384
4 12 1 4-17,17-8,8-12 276.705165082
4 12 2 4-0,0-11,11-13,13-12 381.802593621
4 12 3 4-17,17-5,5-12 288.231505393
4 12 4 4-0,0-11,11-16,16-15,15-17,17-12 389.548213035
4 12 5 4-17,17-7,7-11,11-13,13-12 477.182518415
28 1 0 28-13,13-11,11-18,18-1 395.309932812
28 1 1 28-13,13-11,11-3,3-1 477.159623536
28 1 2 28-27,27-12,12-17,17-18,18-1 701.067886029
28 1 3 28-13,13-12,12-8,8-17,17-18,18-1 570.857083876
28 1 4 28-13,13-12,12-5,5-17,17-15,15-16,16-11,11-18,18-1 582.614521038
28 1 5 28-13,13-12,12-17,17-6,6-18,18-1 609.496452412
2 12 0 2-12 146.842047636
2 12 1 2-13,13-12 189.02593731
2 12 2 2-13,13-28,28-27,27-12 373.55117261
2 12 3 2-13,13-11,11-16,16-15,15-17,17-12 679.489232148
2 12 4 2-13,13-14,14-26,26-12 727.779127873
2 12 5 2-13,13-19,19-14,14-10,10-12 737.92536024
5 1 0 5-17,17-18,18-1 266.47389439
5 1 1 5-17,17-18,18-11,11-3,3-1 571.747366375
5 1 2 5-12,12-13,13-11,11-18,18-1 661.730806162
5 1 3 5-12,12-17,17-6,6-18,18-1 712.71047396
5 1 4 5-12,12-13,13-11,11-3,3-1 743.580496886
5 1 5 5-17,17-15,15-16,16-11,11-18,18-1 266.70499124
3 17 0 3-11,11-16,16-15,15-17 211.851411039
3 17 1 3-11,11-0,0-4,4-17 211.863246405
3 17 2 3-1,1-18,18-17 245.837705874
3 17 3 3-1,1-18,18-6,6-17 289.302851108
3 17 4 3-11,11-7,7-17 307.243171198
3 17 5 3-11,11-13,13-12,12-17 747.864568392
16 7 0 16-15,15-17,17-7 48.5814371926
16 7 1 16-11,11-7 164.467312253
16 7 2 16-15,15-17,17-4,4-0,0-11,11-7 164.479147618
16 7 3 16-11,11-18,18-17,17-7 389.43111089
16 7 4 16-11,11-3,3-1,1-18,18-6,6-17,17-7 549.73569934
16 7 5 16-15,15-17,17-12,12-13,13-11,11-7 700.480469606
6 14 0 6-17,17-15,15-16,16-11,11-13,13-14 707.136577456
6 14 1 6-17,17-12,12-26,26-14 708.466416915
6 14 2 6-18,18-11,11-13,13-14 750.614749932
6 14 3 6-17,17-8,8-12,12-10,10-14 716.620736666
6 14 4 6-17,17-5,5-12,12-24,24-25,25-14 728.147076978
6 14 5 6-17,17-4,4-0,0-11,11-13,13-19,19-14 713.966102136
19 18 0 19-13,13-11,11-18 486.510135481
19 18 1 19-13,13-11,11-3,3-1,1-18 603.349578696
19 18 2 19-14,14-10,10-12,12-17,17-18 939.2521185
19 18 3 19-13,13-12,12-8,8-17,17-18 662.057286544
19 18 4 19-13,13-12,12-5,5-17,17-15,15-16,16-11,11-18 673.814723706
19 18 5 19-13,13-12,12-17,17-6,6-18 700.69665508
17 6 0 17-6 111.589828585
17 6 1 17-18,18-6 272.493893497
17 6 2 17-15,15-16,16-11,11-18,18-6 272.724990347
17 6 3 17-4,4-0,0-11,11-18,18-6 272.736825713
17 6 4 17-7,7-11,11-18,18-6 368.116750506
17 6 5 17-12,12-13,13-11,11-18,18-6 808.7381477
7 15 0 7-17,17-15 48.5814371926
7 15 1 7-11,11-16,16-15 164.467312253
7 15 2 7-11,11-0,0-4,4-17,17-15 164.479147618
7 15 3 7-17,17-18,18-11,11-16,16-15 389.43111089
7 15 4 7-11,11-3,3-1,1-18,18-6,6-17,17-15 547.964585114
7 15 5 7-11,11-13,13-12,12-17,17-15 700.480469606
20 21 0 20-14,14-21 350.358363772
20 21 1 20-14,14-26,26-12,12-23,23-22,22-21 1083.58579629
20 21 2 20-9,9-13,13-12,12-23,23-22,22-21 17522.6188493
20 21 3 20-14,14-10,10-12,12-23,23-22,22-21 1086.91433935
20 21 4 20-14,14-25,25-24,24-12,12-23,23-22,22-21 1086.91433935
20 21 5 20-14,14-28,28-27,27-12,12-23,23-22,22-21 1295.1645318
18 5 0 18-17,17-5 248.979018144
18 5 1 18-11,11-16,16-15,15-17,17-5 249.210114994
18 5 2 18-11,11-13,13-12,12-5 644.235929916
18 5 3 18-6,6-17,17-12,12-5 695.215597714
18 5 4 18-1,1-3,3-11,11-0,0-4,4-17,17-5 366.061393575
18 5 5 18-17,17-8,8-12,12-5 656.576229178
21 8 0 21-14,14-26,26-12,12-8 575.598141159
21 8 1 21-22,22-23,23-12,12-8 658.831173786
21 8 2 21-14,14-13,13-11,11-16,16-15,15-17,17-8 906.187741997
21 8 3 21-14,14-10,10-12,12-17,17-8 910.846124509
21 8 4 21-14,14-25,25-24,24-12,12-8 578.926684212
21 8 5 21-14,14-19,19-13,13-12,12-8 634.381472944
17 24 0 17-12,12-24 533.614041083
17 24 1 17-8,8-12,12-24 538.439817781
17 24 2 17-15,15-16,16-11,11-13,13-14,14-25,25-24 662.137839172
17 24 3 17-5,5-12,12-24 549.966158093
17 24 4 17-12,12-26,26-14,14-25,25-24 663.467678631
17 24 5 17-4,4-0,0-11,11-13,13-12,12-24 643.537246321
22 7 0 22-23,23-12,12-17,17-7 713.330867085
22 7 1 22-23,23-12,12-8,8-17,17-7 718.156643783
22 7 2 22-21,21-14,14-13,13-11,11-7 942.254032158
22 7 3 22-23,23-12,12-5,5-17,17-15,15-16,16-11,11-7 845.568859155
22 7 4 22-21,21-14,14-13,13-11,11-0,0-4,4-17,17-7 944.03698175
22 7 5 22-23,23-12,12-13,13-11,11-7 821.471122731
23 6 0 23-12,12-17,17-6 677.14999278
23 6 1 23-12,12-8,8-17,17-6 681.975769478
23 6 2 23-22,22-21,21-14,14-13,13-11,11-18,18-6 1149.70097595
23 6 3 23-12,12-5,5-17,17-18,18-6 854.406174702
23 6 4 23-12,12-13,13-11,11-16,16-15,15-17,17-6 787.061362652
23 6 5 23-12,12-17,17-18,18-6 838.054057693
10 9 0 10-12,12-13,13-9 8646.57090261
10 9 1 10-14,14-13,13-9 8665.18333082
10 9 2 10-14,14-20,20-9 8861.96505165
