s t k edges
36 34 5 36-37,37-32,32-29,29-34 1482.09402098
44 34 0 44-45,45-42,42-41,41-21,21-30,30-36,36-35,35-34 28692.8343342
44 34 1 44-45,45-42,42-41,41-21,21-30,30-37,37-36,36-35,35-34 28701.2139725
44 34 2 44-1,1-0,0-4,4-2,2-32,32-34 36612.5678648
44 34 3 44-45,45-42,42-26,26-21,21-30,30-32,32-34 29188.8794504
44 34 4 44-39,39-40,40-41,41-21,21-30,30-36,36-35,35-34 30083.5025819
44 34 5 44-45,45-42,42-26,26-21,21-30,30-36,36-29,29-34 29312.2361757
9 0 0 9-8,8-1,1-0 17463.8212656
9 0 1 9-41,41-21,21-30,30-32,32-2,2-4,4-0 43695.3551605
9 0 2 9-41,41-21,21-30,30-32,32-2,2-5,5-4,4-0 43761.0769918
9 0 3 9-43,43-10,10-8,8-1,1-0 43850.3297133
9 0 4 9-41,41-26,26-21,21-30,30-37,37-32,32-2,2-4,4-0 43989.9820577
9 0 5 9-41,41-21,21-30,30-32,32-33,33-7,7-3,3-5,5-4,4-0 44086.6807424
34 8 0 34-32,32-2,2-4,4-0,0-1,1-8 21286.4637909
34 8 1 34-32,32-2,2-5,5-4,4-0,0-1,1-8 21352.1856222
34 8 2 34-35,35-36,36-30,30-21,21-41,41-9,9-8 40303.8524729
34 8 3 34-29,29-3,3-5,5-4,4-0,0-1,1-8 21483.9111128
34 8 4 34-29,29-6,6-2,2-4,4-0,0-1,1-8 21484.7702255
34 8 5 34-32,32-33,33-2,2-4,4-0,0-1,1-8 21527.3156036
15 30 0 15-29,29-36,36-37,37-30 1802.28955408
15 30 1 15-14,14-29,29-36,36-30 1830.64250781
15 30 2 15-29,29-34,34-35,35-36,36-30 1861.55825628
15 30 3 15-29,29-32,32-30 2028.97641614
15 30 4 15-14,14-29,29-32,32-30 2065.70900822
15 30 5 15-6,6-29,29-36,36-30 2071.49401939
37 13 0 37-36,36-35,35-34,34-28,28-12,12-13 1131.33440475
37 13 1 37-36,36-29,29-14,14-13 1344.366436
37 13 2 37-30,30-36,36-35,35-34,34-28,28-12,12-13 1659.59068698
37 13 3 37-32,32-29,29-12,12-13 1714.70967742
37 13 4 37-32,32-29,29-14,14-13 1762.38029009
37 13 5 37-36,36-29,29-12,12-13 1296.69582332
24 14 0 24-22,22-6,6-29,29-14 1218.46448004
24 14 1 24-3,3-29,29-14 1394.22042261
24 14 2 24-22,22-6,6-29,29-12,12-13,13-14 1752.92134158
24 14 3 24-25,25-6,6-15,15-14 3172.80255248
24 14 4 24-3,3-7,7-33,33-32,32-29,29-14 1946.52190838
24 14 5 24-3,3-29,29-28,28-12,12-13,13-14 1991.22544579
13 20 0 13-12,12-28,28-34,34-32,32-20 2180.84339677
13 20 1 13-14,14-29,29-32,32-20 2231.12074294
13 20 2 13-12,12-28,28-34,34-35,35-36,36-30,30-31,31-20 2236.22122258
13 20 3 13-12,12-29,29-36,36-37,37-30,30-31,31-20 2409.96227951
13 20 4 13-14,14-29,29-34,34-32,32-20 2461.52376858
13 20 5 13-12,12-29,29-32,32-20 2183.45013027
3 2 0 3-2 356.930636381
3 2 1 3-7,7-33,33-2 494.051323507
3 2 2 3-6,6-2 662.371183017
3 2 3 3-5,5-2 754.880107052
3 2 4 3-29,29-32,32-2 1186.4960973
3 2 5 3-5,5-4,4-2 1224.12111573
28 10 0 28-29,29-3,3-5,5-4,4-0,0-1,1-8,8-10 22738.6134451
28 10 1 28-34,34-32,32-2,2-4,4-0,0-1,1-44,44-10 51526.6613049
28 10 2 28-29,29-32,32-30,30-21,21-41,41-9,9-8,8-10 42314.7992165
28 10 3 28-29,29-6,6-2,2-4,4-0,0-1,1-8,8-10 22739.4725578
28 10 4 28-34,34-32,32-2,2-5,5-4,4-0,0-1,1-8,8-10 22900.1562852
28 10 5 28-29,29-3,3-2,2-4,4-0,0-1,1-8,8-10 22798.4930857
31 15 0 31-30,30-36,36-29,29-15 2134.61677012
31 15 1 31-30,30-37,37-36,36-29,29-15 2142.99640847
31 15 2 31-20,20-32,32-2,2-6,6-15 3365.77946075
31 15 3 31-30,30-32,32-29,29-14,14-15 2406.41586262
31 15 4 31-30,30-36,36-35,35-34,34-29,29-6,6-15 2479.84921435
31 15 5 31-30,30-32,32-29,29-15 2369.68327053
1 40 0 1-8,8-9,9-41,41-40 16527.805792
1 40 1 1-39,39-40 18697.370269
1 40 2 1-44,44-39,39-40 19349.2084417
1 40 3 1-47,47-46,46-45,45-42,42-41,41-40 20467.436981
1 40 4 1-47,47-44,44-39,39-40 19790.8836239
1 40 5 1-44,44-45,45-42,42-41,41-40 20242.8917271
40 29 0 40-41,41-21,21-30,30-36,36-29 26287.1629993
40 29 1 40-41,41-21,21-30,30-37,37-36,36-29 26295.5426376
40 29 2 40-39,39-1,1-0,0-4,4-5,5-3,3-29 39886.8682562
40 29 3 40-41,41-26,26-21,21-30,30-32,32-29 26625.5294049
40 29 4 40-41,41-21,21-30,30-36,36-35,35-34,34-29 26354.8113398
40 29 5 40-41,41-21,21-30,30-32,32-29 26522.2294997
21 37 0 21-30,30-37 10859.506082
21 37 1 21-30,30-36,36-37 11102.0935223
21 37 2 21-41,41-40,40-39,39-1,1-0,0-4,4-2,2-32,32-37 54944.9133463
21 37 3 21-30,30-32,32-37 11835.5925784
21 37 4 21-30,30-32,32-34,34-35,35-36,36-37 12083.7850625
21 37 5 21-30,30-36,36-29,29-32,32-37 12557.5073014
4 35 0 4-2,2-32,32-34,34-35 1296.5799847
4 35 1 4-5,5-2,2-32,32-34,34-35 1362.301816
4 35 2 4-5,5-3,3-29,29-36,36-35 1860.66226813
4 35 3 4-2,2-6,6-29,29-34,34-35 1494.8864193
4 35 4 4-2,2-33,33-32,32-34,34-35 1537.43179737
4 35 5 4-5,5-3,3-29,29-34,34-35 1494.02730661
8 38 0 8-1,1-47,47-38 16299.8383638
8 38 1 8-1,1-47,47-46,46-38 16657.7570826
8 38 2 8-10,10-44,44-47,47-38 18300.4429406
8 38 3 8-9,9-41,41-42,42-45,45-46,46-38 20002.1866426
8 38 4 8-1,1-44,44-47,47-38 17771.1129487
8 38 5 8-10,10-44,44-45,45-46,46-38 19280.3145276
7 22 0 7-3,3-6,6-22 653.956149122
7 22 1 7-3,3-24,24-22 1041.96116078
7 22 2 7-33,33-2,2-6,6-22 1180.24961226
7 22 3 7-33,33-32,32-29,29-6,6-22 1304.78683356
7 22 4 7-33,33-2,2-3,3-24,24-22 1627.46419623
7 22 5 7-3,3-29,29-6,6-22 1017.96427222
46 23 0 46-45,45-42,42-41,41-21,21-30,30-32,32-33,33-7,7-3,3-23 29894.2029665
46 23 1 46-45,45-42,42-41,41-21,21-30,30-36,36-29,29-6,6-22,22-24,24-23 30079.6063603
46 23 2 46-47,47-1,1-0,0-4,4-5,5-3,3-23 37421.058226
46 23 3 46-45,45-42,42-26,26-21,21-30,30-32,32-33,33-7,7-3,3-23 29992.4268972
46 23 4 46-45,45-42,42-41,41-21,21-30,30-37,37-36,36-35,35-34,34-29,29-3,3-23 30139.8441826
46 23 5 46-45,45-42,42-41,41-21,21-30,30-36,36-29,29-6,6-25,25-23 30533.2039931
29 37 0 29-36,36-37 644.183501844
29 37 1 29-34,34-35,35-36,36-37 711.831842404
29 37 2 29-32,32-37 1062.19735594
29 37 3 29-36,36-30,30-37 1172.43978408
29 37 4 29-3,3-7,7-33,33-32,32-37 1385.98681593
29 37 5 29-32,32-30,30-37 1407.50628449
33 34 0 33-32,32-34 678.788936041
33 34 1 33-7,7-3,3-29,29-34 832.384772992
33 34 2 33-7,7-3,3-6,6-29,29-34 832.573817419
33 34 3 33-2,2-32,32-34 1078.56567344
33 34 4 33-32,32-37,37-36,36-35,35-34 1265.43388534
33 34 5 33-32,32-29,29-28,28-34 1350.57386848
16 38 0 16-37,37-30,30-21,21-41,41-42,42-45,45-46,46-38 29788.4945055
16 38 1 16-17,17-19,19-36,36-30,30-21,21-41,41-42,42-45,45-46,46-38 31202.9044431
16 38 2 16-37,37-32,32-2,2-4,4-0,0-1,1-47,47-38 38418.2829065
16 38 3 16-37,37-36,36-35,35-34,34-32,32-30,30-21,21-26,26-42,42-45,45-46,46-38 31110.9974167
16 38 4 16-37,37-30,30-21,21-26,26-42,42-45,45-46,46-38 29886.7184362
16 38 5 16-37,37-30,30-21,21-41,41-42,42-45,45-46,46-47,47-38 31174.4287214
36 41 0 36-30,30-21,21-41 24626.2872702
36 41 1 36-37,37-30,30-21,21-41 24634.6669085
36 41 2 36-29,29-32,32-2,2-4,4-0,0-1,1-39,39-40,40-41 41708.7198891
36 41 3 36-35,35-34,34-32,32-30,30-21,21-26,26-41 25711.2787155
36 41 4 36-30,30-21,21-26,26-42,42-41 25708.8536187
36 41 5 36-37,37-32,32-30,30-21,21-41 25610.7534049
41 34 0 41-21,21-30,30-36,36-35,35-34 24918.2224475
41 34 1 41-21,21-30,30-37,37-36,36-35,35-34 24926.6020859
41 34 2 41-40,40-39,39-1,1-0,0-4,4-5,5-3,3-29,29-34 41323.4571485
41 34 3 41-26,26-21,21-30,30-32,32-34 25419.3435382
41 34 4 41-21,21-30,30-36,36-29,29-28,28-34 25752.762065
41 34 5 41-26,26-21,21-30,30-37,37-32,32-34 25610.6705302
22 12 0 22-6,6-29,29-12 1118.61884717
22 12 1 22-6,6-29,29-28,28-12 1181.16700881
22 12 2 22-24,24-3,3-29,29-12 1871.08493335
22 12 3 22-6,6-3,3-29,29-14,14-13,13-12 1640.51790537
22 12 4 22-24,24-3,3-29,29-11,11-12 3583.79343228
22 12 5 22-6,6-29,29-34,34-28,28-12 1474.43533945
44 25 0 44-45,45-42,42-41,41-21,21-30,30-36,36-29,29-6,6-25 30249.4427961
44 25 1 44-45,45-42,42-41,41-21,21-30,30-36,36-29,29-6,6-22,22-24,24-25 30251.3267629
44 25 2 44-1,1-0,0-4,4-2,2-6,6-25 37482.107683
44 25 3 44-45,45-42,42-26,26-21,21-30,30-32,32-33,33-7,7-3,3-24,24-25 30355.6933989
44 25 4 44-39,39-40,40-41,41-21,21-30,30-36,36-29,29-3,3-24,24-25 31817.7509532
44 25 5 44-45,45-42,42-41,41-21,21-30,30-37,37-36,36-35,35-34,34-29,29-6,6-25 30325.470775
34 3 0 34-29,29-3 658.647724524
34 3 1 34-29,29-6,6-3 658.836768951
34 3 2 34-32,32-33,33-7,7-3 852.52598451
34 3 3 34-28,28-29,29-3 972.009431173
34 3 4 34-32,32-2,2-3 1115.18203479
34 3 5 34-35,35-36,36-29,29-3 1174.86973869
24 21 0 24-22,22-6,6-29,29-36,36-30,30-21 12304.6552285
24 21 1 24-3,3-7,7-33,33-32,32-30,30-21 12310.7979338
24 21 2 24-25,25-6,6-2,2-4,4-0,0-1,1-39,39-40,40-41,41-21 56167.6092925
24 21 3 24-3,3-29,29-34,34-35,35-36,36-37,37-30,30-21 12556.43915
24 21 4 24-22,22-6,6-29,29-32,32-30,30-21 12539.7217289
24 21 5 24-3,3-29,29-36,36-30,30-21 12480.411171
0 14 0 0-4,4-5,5-3,3-29,29-14 6648.41523159
0 14 1 0-4,4-2,2-6,6-15,15-14 7560.73166231
0 14 2 0-1,1-39,39-40,40-41,41-21,21-30,30-36,36-29,29-14 60343.8544179
0 14 3 0-4,4-2,2-3,3-6,6-29,29-14 6708.48391661
0 14 4 0-4,4-5,5-2,2-32,32-29,29-14 6875.11296677
0 14 5 0-4,4-2,2-33,33-7,7-3,3-29,29-14 6845.4155593
38 31 0 38-46,46-45,45-42,42-41,41-21,21-30,30-31 29198.1288804
38 31 1 38-46,46-45,45-42,42-26,26-21,21-30,30-31 29296.3528111
38 31 2 38-47,47-1,1-0,0-4,4-2,2-32,32-20,20-31 38728.5104817
38 31 3 38-47,47-44,44-45,45-42,42-41,41-21,21-30,30-31 30801.1930247
38 31 4 38-46,46-45,45-42,42-26,26-21,21-30,30-32,32-20,20-31 31173.0325078
38 31 5 38-47,47-44,44-45,45-42,42-26,26-21,21-30,30-31 30899.4169554
3 11 0 3-29,29-11 1818.10214163
3 11 1 3-6,6-29,29-11 1818.29118606
3 11 2 3-29,29-12,12-11 1818.33282687
3 11 3 3-7,7-33,33-32,32-34,34-28,28-12,12-11 2368.02757914
3 11 4 3-2,2-6,6-29,29-11 2472.9428865
3 11 5 3-29,29-14,14-13,13-12,12-11 1975.77081055
28 1 0 28-29,29-3,3-5,5-4,4-0,0-1 21493.9578008
28 1 1 28-34,34-32,32-2,2-4,4-0,0-1 21589.7788096
28 1 2 28-29,29-32,32-30,30-21,21-41,41-40,40-39,39-1 45524.0595824
28 1 3 28-29,29-6,6-2,2-4,4-0,0-1 21494.8169135
28 1 4 28-34,34-32,32-2,2-5,5-4,4-0,0-1 21655.5006409
28 1 5 28-29,29-3,3-2,2-4,4-0,0-1 21553.8374414
1 33 0 1-0,0-4,4-2,2-33 20848.5266676
1 33 1 1-0,0-4,4-5,5-2,2-33 20914.2484989
1 33 2 1-39,39-40,40-41,41-21,21-30,30-32,32-33 45005.4175814
1 33 3 1-0,0-4,4-5,5-3,3-7,7-33 20999.0004368
1 33 4 1-0,0-4,4-2,2-32,32-33 21136.2917037
1 33 5 1-0,0-4,4-2,2-3,3-7,7-33 21058.8800774
40 4 0 40-41,41-21,21-30,30-32,32-2,2-4 26851.0448347
40 4 1 40-41,41-21,21-30,30-32,32-2,2-5,5-4 26916.766666
40 4 2 40-39,39-1,1-0,0-4 38762.0476016
40 4 3 40-41,41-26,26-21,21-30,30-37,37-32,32-2,2-4 27145.6717319
40 4 4 40-41,41-21,21-30,30-32,32-33,33-7,7-3,3-5,5-4 27242.3704166
40 4 5 40-41,41-26,26-21,21-30,30-32,32-33,33-2,2-4 27195.1965526
21 46 0 21-41,41-42,42-45,45-46 17291.7076616
21 46 1 21-26,26-42,42-45,45-46 17389.9315923
21 46 2 21-41,41-40,40-39,39-44,44-47,47-46 20643.3587725
21 46 3 21-26,26-42,42-45,45-44,44-47,47-38,38-46 20942.0482221
21 46 4 21-26,26-41,41-42,42-45,45-46 17395.0075668
21 46 5 21-41,41-40,40-39,39-44,44-45,45-46 21265.3116407
4 42 0 4-2,2-32,32-30,30-21,21-41,41-42 26201.040277
4 42 1 4-5,5-2,2-32,32-30,30-21,21-41,41-42 26266.7621083
4 42 2 4-0,0-1,1-44,44-45,45-42 38673.2220842
4 42 3 4-2,2-32,32-37,37-30,30-21,21-26,26-42 26490.5911998
4 42 4 4-2,2-33,33-32,32-30,30-21,21-26,26-42 26540.1160204
4 42 5 4-5,5-2,2-32,32-37,37-30,30-21,21-41,41-42 26458.0891004
8 45 0 8-1,1-44,44-45 16617.5719395
8 45 1 8-1,1-47,47-46,46-45 16842.1171934
8 45 2 8-10,10-44,44-45 17146.9019314
8 45 3 8-9,9-41,41-42,42-45 17868.7740464
8 45 4 8-10,10-44,44-47,47-38,38-46,46-45 20433.8555368
8 45 5 8-1,1-39,39-44,44-45 17370.6631802
7 15 0 7-3,3-6,6-15 1300.33813354
7 15 1 7-3,3-29,29-15 1386.76215297
7 15 2 7-33,33-32,32-29,29-15 1673.58471431
7 15 3 7-33,33-2,2-6,6-29,29-14,14-15 1949.97725262
7 15 4 7-3,3-29,29-14,14-15 1423.49474506
7 15 5 7-33,33-2,2-6,6-15 1826.63159668
46 30 0 46-45,45-42,42-41,41-21,21-30 27882.8957833
46 30 1 46-45,45-42,42-26,26-21,21-30 27981.119714
46 30 2 46-47,47-1,1-0,0-4,4-2,2-32,32-30 37215.9118317
46 30 3 46-38,38-47,47-44,44-39,39-40,40-41,41-21,21-30 32825.6806608
46 30 4 46-45,45-42,42-41,41-26,26-21,21-30 27986.1956885
46 30 5 46-47,47-44,44-39,39-40,40-41,41-21,21-30 31234.5468942
16 29 0 16-37,37-36,36-29 1306.93802105
16 29 1 16-37,37-36,36-35,35-34,34-29 1374.58636161
16 29 2 16-17,17-19,19-36,36-29 2478.76051833
16 29 3 16-37,37-32,32-29 1724.95187514
16 29 4 16-37,37-32,32-33,33-7,7-3,3-29 2048.74133513
16 29 5 16-37,37-30,30-32,32-29 2070.26080369
41 43 0 41-9,9-43 26167.6658608
41 43 1 41-9,9-8,8-10,10-43 30990.1026377
41 43 2 41-42,42-45,45-44,44-10,10-43 32745.2072762
41 43 3 41-40,40-39,39-1,1-8,8-9,9-43 35648.820497
41 43 4 41-40,40-39,39-44,44-10,10-43 34135.875524
41 43 5 41-42,42-45,45-46,46-47,47-44,44-10,10-43 34441.0271149
22 7 0 22-6,6-3,3-7 653.956149122
22 7 1 22-24,24-3,3-7 1041.96116078
22 7 2 22-6,6-2,2-33,33-7 1180.24961226
22 7 3 22-6,6-29,29-32,32-33,33-7 1304.78683356
22 7 4 22-24,24-3,3-2,2-33,33-7 1627.46419623
22 7 5 22-6,6-29,29-3,3-7 1017.96427222
44 16 0 44-45,45-42,42-41,41-21,21-30,30-37,37-16 28946.549775
44 16 1 44-45,45-42,42-41,41-21,21-30,30-36,36-19,19-17,17-16 30360.9597126
44 16 2 44-1,1-0,0-4,4-2,2-32,32-37,37-16 37444.5486166
44 16 3 44-39,39-40,40-41,41-21,21-30,30-37,37-18,18-17,17-16 32198.0764994
44 16 4 44-45,45-42,42-26,26-21,21-30,30-32,32-34,34-35,35-36,36-37,37-16 30269.0526862
44 16 5 44-39,39-40,40-41,41-21,21-30,30-37,37-16 30337.2180228
47 5 0 47-46,46-45,45-42,42-41,41-21,21-30,30-32,32-2,2-5 30021.0663212
47 5 1 47-46,46-45,45-42,42-26,26-21,21-30,30-32,32-2,2-5 30119.2902519
47 5 2 47-1,1-0,0-4,4-5 35143.4631251
47 5 3 47-44,44-39,39-40,40-41,41-21,21-30,30-32,32-2,2-5 31628.8644974
47 5 4 47-46,46-45,45-42,42-26,26-21,21-30,30-32,32-33,33-7,7-3,3-5 30444.8940025
47 5 5 47-44,44-45,45-42,42-41,41-21,21-30,30-37,37-32,32-2,2-5 30429.5232417
12 41 0 12-28,28-34,34-35,35-36,36-30,30-21,21-41 25577.2544501
12 41 1 12-29,29-36,36-30,30-21,21-41 25742.6158686
12 41 2 12-28,28-34,34-32,32-2,2-4,4-0,0-1,1-39,39-40,40-41 41785.0418291
12 41 3 12-29,29-36,36-37,37-30,30-21,21-26,26-41 25854.2954122
12 41 4 12-13,13-14,14-29,29-36,36-30,30-21,21-41 25900.0538523
12 41 5 12-29,29-34,34-35,35-36,36-37,37-30,30-21,21-41 25818.6438476
34 26 0 34-35,35-36,36-30,30-21,21-26 13855.6716949
34 26 1 34-35,35-36,36-37,37-30,30-21,21-26 13864.0513333
34 26 2 34-29,29-32,32-2,2-4,4-0,0-1,1-39,39-40,40-41,41-26 52650.2837101
34 26 3 34-32,32-30,30-21,21-26 14253.4928804
34 26 4 34-28,28-29,29-36,36-30,30-21,21-26 14690.2113124
34 26 5 34-32,32-37,37-30,30-21,21-26 14444.8198724
24 28 0 24-22,22-6,6-29,29-28 1113.80509671
24 28 1 24-3,3-29,29-28 1289.56103928
24 28 2 24-22,22-6,6-29,29-34,34-28 1407.07342735
24 28 3 24-3,3-7,7-33,33-32,32-34,34-28 1776.70762991
24 28 4 24-25,25-6,6-29,29-12,12-28 2805.57165729
24 28 5 24-3,3-29,29-12,12-28 1938.44684545
45 47 0 45-46,46-47 2030.8128208
45 47 1 45-44,44-47 2247.94274921
45 47 2 45-46,46-38,38-47 3621.94658742
45 47 3 45-42,42-41,41-9,9-8,8-1,1-47 32680.078419
45 47 4 45-42,42-26,26-41,41-40,40-39,39-44,44-47 30931.52438
45 47 5 45-44,44-1,1-47 31428.8763121
10 19 0 10-8,8-1,1-0,0-4,4-2,2-32,32-34,34-35,35-36,36-19 23834.8904962
10 19 1 10-8,8-9,9-41,41-21,21-30,30-36,36-19 42268.4088235
10 19 2 10-44,44-1,1-0,0-4,4-2,2-32,32-37,37-18,18-17,17-19 54041.4563171
10 19 3 10-8,8-1,1-0,0-4,4-5,5-3,3-29,29-36,36-19 23964.6894776
10 19 4 10-8,8-1,1-0,0-4,4-5,5-2,2-6,6-29,29-36,36-19 24031.2704216
10 19 5 10-8,8-1,1-0,0-4,4-2,2-33,33-32,32-37,37-36,36-19 24078.5169035
13 6 0 13-12,12-29,29-6 834.610905239
13 6 1 13-14,14-29,29-6 882.281517916
13 6 2 13-12,12-29,29-3,3-6 1199.07197977
13 6 3 13-14,14-15,15-6 1793.73883594
13 6 4 13-12,12-28,28-34,34-32,32-33,33-7,7-3,3-6 1748.76673204
13 6 5 13-12,12-28,28-29,29-6 897.159066879
0 5 0 0-4,4-5 5381.95679996
0 5 1 0-4,4-2,2-5 5839.78591122
0 5 2 0-1,1-39,39-40,40-41,41-21,21-30,30-32,32-2,2-5 60296.8574676
0 5 3 0-4,4-2,2-3,3-5 6428.04571209
0 5 4 0-4,4-2,2-33,33-7,7-3,3-5 6565.16639922
0 5 5 0-4,4-2,2-6,6-3,3-5 6733.48625873
38 22 0 38-46,46-45,45-42,42-41,41-21,21-30,30-36,36-29,29-6,6-22 30282.534061
38 22 1 38-47,47-1,1-0,0-4,4-2,2-6,6-22 37646.9885073
38 22 2 38-46,46-45,45-42,42-41,41-21,21-30,30-36,36-29,29-3,3-24,24-22 31035.0001472
38 22 3 38-46,46-45,45-42,42-26,26-21,21-30,30-32,32-33,33-7,7-3,3-6,6-22 30575.605829
38 22 4 38-46,46-45,45-42,42-26,26-21,21-30,30-37,37-36,36-35,35-34,34-29,29-6,6-22 30456.7859706
38 22 5 38-46,46-45,45-42,42-41,41-21,21-30,30-32,32-29,29-6,6-22 30517.6005614
25 3 0 25-24,24-3 1143.24898734
25 3 1 25-23,23-3 1328.90670702
25 3 2 25-6,6-3 1330.07015254
25 3 3 25-6,6-29,29-3 1694.07827564
25 3 4 25-24,24-22,22-6,6-2,2-3 1986.60581974
25 3 5 25-23,23-24,24-3 1520.45280624
28 24 0 28-29,29-6,6-22,22-24 1113.80509671
28 24 1 28-29,29-3,3-24 1289.56103928
28 24 2 28-34,34-29,29-6,6-22,22-24 1407.07342735
28 24 3 28-34,34-32,32-33,33-7,7-3,3-24 1776.70762991
28 24 4 28-12,12-29,29-3,3-24 1938.44684545
28 24 5 28-34,34-29,29-6,6-25,25-24 2449.95418176
40 11 0 40-41,41-21,21-30,30-36,36-35,35-34,34-28,28-12,12-11 27575.8998088
40 11 1 40-41,41-21,21-30,30-36,36-29,29-11 27741.0305421
40 11 2 40-39,39-1,1-0,0-4,4-5,5-3,3-29,29-12,12-11 41340.9664842
40 11 3 40-41,41-21,21-30,30-37,37-36,36-29,29-11 27749.4101805
40 11 4 40-41,41-26,26-21,21-30,30-36,36-29,29-11 27844.3304473
40 11 5 40-41,41-26,26-21,21-30,30-37,37-36,36-35,35-34,34-28,28-12,12-11 27687.5793523
4 17 0 4-2,2-32,32-37,37-16,16-17 2465.24414508
4 17 1 4-5,5-2,2-32,32-37,37-16,16-17 2530.96597639
